message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,40.8222,140.7474,1580562000,Overcast,cloudy,34.33,26.61,21.69,0.6,1016.7,10.01,19.18,279,0.96,0,4.953,334.7,Aomori City
success,40.8222,140.7474,1580648400,Mostly Cloudy,partly-cloudy-night,30.79,23.78,12.02,0.45,1022.6,7.38,13.45,220,0.83,0,10,362.1,Aomori City
success,40.8222,140.7474,1580734800,Mostly Cloudy,partly-cloudy-night,30.47,20.81,18.88,0.62,1016.9,12.09,22.15,254,0.87,0,3.538,350.6,Aomori City
success,40.8222,140.7474,1580821200,Overcast,cloudy,25.81,20.53,12.16,0.56,1017.6,4.33,5.84,55,0.99,0,4.765,367.7,Aomori City
success,40.8222,140.7474,1580907600,Overcast,cloudy,21.81,10.66,7.25,0.53,1015.1,10.74,18.36,306,0.98,0,5.743,428.4,Aomori City
success,40.8222,140.7474,1580994000,Foggy,fog,24.25,13.76,11.44,0.58,1025.5,10.63,20.19,272,0.98,0,1.078,412.7,Aomori City
success,40.8222,140.7474,1581080400,Possible Light Rain,rain,33.61,27.27,23.82,0.67,1014.6,7.26,23.17,147,0.85,0,5.468,419.2,Aomori City
success,40.8222,140.7474,1581166800,Foggy,fog,23.59,14.81,9.59,0.55,1014.5,7.72,16.23,316,0.96,0,0.682,419,Aomori City
success,40.8222,140.7474,1581253200,Overcast,cloudy,20.91,11.84,5.54,0.51,1016.4,7.34,13.22,308,0.97,0,3.813,447.5,Aomori City
success,40.8222,140.7474,1581339600,Overcast,cloudy,22.91,16.58,8.3,0.53,1019.7,4.84,6.53,237,0.93,0,3.806,440.1,Aomori City
success,40.8222,140.7474,1581426000,Mostly Cloudy,partly-cloudy-night,30.77,22.27,17.01,0.56,1027.2,9.88,18.98,217,0.71,0,10,379.6,Aomori City
success,40.8222,140.7474,1581512400,Mostly Cloudy,partly-cloudy-night,39.4,33.06,27.58,0.62,1019.5,9.64,18.6,210,0.7,0,10,356.3,Aomori City
success,40.8222,140.7474,1581598800,Overcast,cloudy,42.01,39.78,35.23,0.77,1014,3.84,4.68,308,0.98,0,3.605,362.8,Aomori City
success,40.8222,140.7474,1581685200,Overcast,cloudy,39.93,36.8,31.55,0.72,1018.6,4.5,9.93,275,0.93,0,10,366.6,Aomori City
success,40.8222,140.7474,1581771600,Mostly Cloudy,partly-cloudy-night,32.37,29.24,17.17,0.53,1021.9,3.37,6.48,266,0.64,0,10,346.3,Aomori City
success,40.8222,140.7474,1581858000,Rain,rain,36.28,25.58,27.95,0.72,1002.9,20.06,36.57,99,1,0,3.24,340.6,Aomori City
success,40.8222,140.7474,1581944400,Partly Cloudy,partly-cloudy-night,34.69,27.94,22.92,0.62,1002.2,8.33,18.85,216,0.44,0,9.572,424.1,Aomori City
success,40.8222,140.7474,1582030800,Mostly Cloudy,partly-cloudy-night,33.93,25.46,23.45,0.65,1014,11.42,23.57,285,0.78,0,3.664,393.3,Aomori City
success,40.8222,140.7474,1582117200,Partly Cloudy,partly-cloudy-night,31.39,22.92,15.84,0.52,1026,10.1,19.96,240,0.53,0,10,389.7,Aomori City
success,40.8222,140.7474,1582203600,Mostly Cloudy,partly-cloudy-night,33.86,25.75,20.16,0.57,1030.9,10.6,25.21,191,0.71,0,9.464,442.2,Aomori City
message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,40.8222,140.7474,1580562000,Overcast,cloudy,34.33,26.61,21.69,0.6,1016.7,10.01,19.18,279,0.96,0,4.953,334.7,Aomori City
success,40.8222,140.7474,1580565600,Overcast,cloudy,33.66,26.17,21.62,0.61,1017.1,9.25,19.38,285,0.92,0,3.797,333.8,Aomori City
success,40.8222,140.7474,1580569200,Overcast,cloudy,32.99,25.71,21.45,0.62,1017.4,8.59,19.44,293,0.89,0,2.915,333.9,Aomori City
success,40.8222,140.7474,1580572800,Overcast,cloudy,32.43,25.18,21.06,0.63,1017.4,8.32,19.34,295,0.9,0,2.689,335.5,Aomori City
success,40.8222,140.7474,1580576400,Overcast,cloudy,31.67,24.36,20.66,0.63,1017.5,8.13,19.14,295,0.93,0,2.732,337.9,Aomori City
