message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,47.516231,14.550072,1577865600,Clear,clear-day,23.39,23.39,20.08,0.87,1036.9,2.06,3.29,251,0.03,0,10,326.7,Austria
success,47.516231,14.550072,1577880000,Clear,clear-day,33.55,33.55,25.55,0.72,1034.8,2.44,4.5,355,0.01,1,10,321.9,Austria
success,47.516231,14.550072,1577898000,Clear,clear-night,28.24,28.24,13.1,0.53,1035.8,1.65,2.47,177,0,0,10,312.3,Austria
success,47.516231,14.550072,1577952000,Clear,clear-day,31.56,27.01,19.2,0.6,1034.4,4.53,6.62,176,0,0,10,311.6,Austria
success,47.516231,14.550072,1577966400,Clear,clear-day,41.79,39.91,30.12,0.63,1031.2,3.45,5.56,177,0,1,10,316.3,Austria
success,47.516231,14.550072,1577984400,Clear,clear-night,32.99,28.88,19.38,0.57,1030.6,4.33,6.41,184,0,0,10,327.8,Austria
success,47.516231,14.550072,1578038400,Clear,clear-day,29.83,29.83,21.24,0.7,1029.7,2.46,3.45,216,0.18,0,10,338.3,Austria
success,47.516231,14.550072,1578052800,Mostly Cloudy,partly-cloudy-day,41.67,41.67,31.69,0.67,1026.4,1.82,3.16,215,0.63,1,10,338.8,Austria
success,47.516231,14.550072,1578070800,Overcast,cloudy,34.23,34.23,25.7,0.71,1026.6,2.23,3.77,300,1,0,10,340.8,Austria
success,47.516231,14.550072,1578124800,Possible Light Rain,rain,33.05,33.05,33.05,1,1026.5,2.52,4.77,332,1,0,0.041,337.7,Austria
success,47.516231,14.550072,1578139200,Snow,snow,32.32,28,32.23,1,1025.6,4.43,8.04,313,1,1,0.052,345.1,Austria
success,47.516231,14.550072,1578157200,Foggy,fog,31.2,25.15,25.3,0.79,1026.5,6.17,24.8,294,1,0,0.434,349.8,Austria
success,47.516231,14.550072,1578211200,Foggy,fog,27,19.04,24.89,0.92,1033.5,7.59,26.47,337,1,0,0.615,328.3,Austria
success,47.516231,14.550072,1578225600,Foggy,fog,28.16,23.59,25.25,0.89,1033.5,4.04,11,359,0.98,1,0.367,328.6,Austria
success,47.516231,14.550072,1578243600,Foggy,fog,25.59,20.76,21.38,0.84,1035.8,3.93,8.31,313,0.99,0,0.232,335,Austria
success,47.516231,14.550072,1578297600,Clear,clear-day,21.49,21.49,7.53,0.54,1034.2,1.86,2.51,215,0,0,10,325.6,Austria
success,47.516231,14.550072,1578312000,Clear,clear-day,34.29,34.29,23.63,0.65,1030.8,0.98,1.81,219,0,1,10,331.7,Austria
success,47.516231,14.550072,1578330000,Clear,clear-night,27.55,27.55,11.45,0.5,1029.4,2.98,3.35,220,0.11,0,10,348.1,Austria
success,47.516231,14.550072,1578384000,Clear,clear-day,26.88,26.88,20.41,0.76,1028.9,2.91,4.05,292,0.24,0,10,338.7,Austria
success,47.516231,14.550072,1578398400,Mostly Cloudy,partly-cloudy-day,33.03,29.39,28.07,0.82,1028.7,3.89,7.51,313,0.66,1,10,350.8,Austria
success,47.516231,14.550072,1578416400,Mostly Cloudy,partly-cloudy-night,30.84,27.19,27.21,0.86,1032.1,3.61,5.32,310,0.62,0,2.246,364,Austria
success,47.516231,14.550072,1578470400,Clear,clear-day,26.04,22.07,22.07,0.85,1033.1,3.34,3.48,229,0.08,0,10,331.6,Austria
success,47.516231,14.550072,1578484800,Partly Cloudy,partly-cloudy-day,36.41,36.41,28.37,0.72,1030.8,2.94,4.31,276,0.54,1,10,319.6,Austria
success,47.516231,14.550072,1578502800,Mostly Cloudy,partly-cloudy-night,35.62,33.18,18.75,0.5,1031.4,3.18,3.91,241,0.77,0,10,314.2,Austria
success,47.516231,14.550072,1578556800,Mostly Cloudy,partly-cloudy-day,38.61,36.51,36.41,0.92,1026.6,3.24,3.8,179,0.77,0,10,309.5,Austria
success,47.516231,14.550072,1578571200,Foggy,fog,44.82,43.81,37.8,0.76,1023.2,3.01,3.62,174,0.55,1,1.377,316,Austria
success,47.516231,14.550072,1578589200,Partly Cloudy,partly-cloudy-night,38.54,36.08,29.71,0.7,1022.6,3.56,4.77,185,0.57,0,10,312.4,Austria
success,47.516231,14.550072,1578643200,Mostly Cloudy,partly-cloudy-day,33.65,33.65,30.65,0.89,1023.5,2.35,4.07,262,0.7,0,10,313.8,Austria
success,47.516231,14.550072,1578657600,Partly Cloudy,partly-cloudy-day,38.62,38.62,34.49,0.85,1022.7,1.59,2.54,283,0.39,1,10,320.6,Austria
success,47.516231,14.550072,1578675600,Partly Cloudy,partly-cloudy-night,33.98,33.98,30.97,0.89,1025.6,1.92,2.92,281,0.56,0,5.187,320.5,Austria
success,47.516231,14.550072,1578729600,Foggy,fog,31.26,27.95,31.26,1,1032.3,3.39,6.02,320,1,0,0.03,352.8,Austria
success,47.516231,14.550072,1578744000,Foggy,fog,31.43,27.02,29.23,0.91,1032.1,4.37,8.59,335,1,1,0.287,341.8,Austria
success,47.516231,14.550072,1578762000,Overcast,cloudy,27.36,27.36,23.85,0.86,1033.7,2.19,3.97,239,0.98,0,9.323,332.6,Austria
success,47.516231,14.550072,1578816000,Partly Cloudy,partly-cloudy-day,27.79,23.89,16.81,0.63,1031.1,3.47,4.88,181,0.33,0,10,302,Austria
success,47.516231,14.550072,1578830400,Clear,clear-day,37.64,37.64,25.28,0.61,1028.6,1,2.38,206,0.23,1,10,297.2,Austria
success,47.516231,14.550072,1578848400,Clear,clear-night,29.62,29.62,18.06,0.62,1028.7,2.51,2.93,230,0.2,0,10,288.7,Austria
