message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,56.130366,-106.346771,1577865600,Foggy,fog,16.47,16.47,7.47,0.67,989.4,1.86,1.95,24,0.97,0,1.267,395.1,Canada
success,56.130366,-106.346771,1577880000,Overcast,cloudy,17.23,17.23,8.88,0.69,991.1,2.32,4.87,340,0.94,0,6.088,396.2,Canada
success,56.130366,-106.346771,1577898000,Overcast,cloudy,18.97,18.97,12.73,0.76,992.1,1.41,1.95,296,1,0,5.61,403,Canada
success,56.130366,-106.346771,1577952000,Foggy,fog,14.77,14.77,2.97,0.59,997.7,2.74,5.13,198,0.97,0,1.076,449.4,Canada
success,56.130366,-106.346771,1577966400,Overcast,cloudy,13.16,7.72,4.72,0.68,998.8,3.15,8.85,284,0.98,0,3.685,441.7,Canada
success,56.130366,-106.346771,1577984400,Overcast,cloudy,16.05,16.05,9.67,0.75,998.6,1.77,4.2,188,0.99,0,4.864,429.1,Canada
success,56.130366,-106.346771,1578038400,Mostly Cloudy,partly-cloudy-night,9.63,-2.58,-7.04,0.46,1009.6,8.2,20.1,321,0.76,0,2.942,437.4,Canada
success,56.130366,-106.346771,1578052800,Overcast,cloudy,7.23,-4.76,-9.32,0.46,1013.6,7.41,17.73,303,0.91,0,3.693,428.8,Canada
success,56.130366,-106.346771,1578070800,Mostly Cloudy,partly-cloudy-day,5.62,-3.58,-8.72,0.51,1015.7,4.77,9.63,304,0.71,0,10,424.5,Canada
success,56.130366,-106.346771,1578124800,Mostly Cloudy,partly-cloudy-night,5.26,-6.8,-13.89,0.4,1013.7,7.06,16.59,124,0.79,0,4.385,376.9,Canada
success,56.130366,-106.346771,1578139200,Overcast,cloudy,8.33,-6.09,-9.42,0.43,1009.4,10.66,23.73,123,0.99,0,4.11,370,Canada
success,56.130366,-106.346771,1578157200,Foggy,fog,9.83,-5.37,-2.51,0.57,1003.5,12.43,31.88,123,1,0,1.167,381.9,Canada
success,56.130366,-106.346771,1578211200,Mostly Cloudy,partly-cloudy-night,11.09,-3.48,-7.57,0.42,1009.9,11.94,28.6,288,0.86,0,3.076,394.5,Canada
success,56.130366,-106.346771,1578225600,Mostly Cloudy,partly-cloudy-night,3.72,-11.77,-18.11,0.35,1015.2,10.58,26.96,289,0.62,0,9.249,400.7,Canada
success,56.130366,-106.346771,1578243600,Clear,clear-day,-2.91,-17.21,-22.58,0.37,1017.1,7.57,18.05,275,0.14,0,10,398,Canada
