message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,35.86166,104.195397,1577865600,Clear,clear-day,39.14,37.21,19.89,0.46,1016.7,3.16,4.08,100,0.06,1,10,303.9,China
success,35.86166,104.195397,1577880000,Clear,clear-night,25.75,25.75,19.7,0.78,1022.9,2.42,2.84,119,0.14,0,10,301.1,China
success,35.86166,104.195397,1577898000,Clear,clear-night,19.91,19.91,17.62,0.91,1027.5,1.44,2,173,0,0,10,295.2,China
success,35.86166,104.195397,1577952000,Clear,clear-day,36.39,36.39,19.45,0.5,1023.7,2.56,2.58,315,0.04,1,10,326,China
success,35.86166,104.195397,1577966400,Partly Cloudy,partly-cloudy-night,24.97,24.97,18.06,0.75,1029.4,1.28,1.36,1,0.36,0,10,324.9,China
success,35.86166,104.195397,1577984400,Mostly Cloudy,partly-cloudy-night,23.59,23.59,14.18,0.67,1031.1,1.49,2.37,319,0.66,0,10,333.4,China
success,35.86166,104.195397,1578038400,Overcast,cloudy,40.92,40.92,12.81,0.31,1021.3,2.41,2.55,128,0.97,1,10,353.4,China
success,35.86166,104.195397,1578052800,Overcast,cloudy,28.38,28.38,11.36,0.48,1025.2,2.94,3.19,144,0.95,0,10,345.3,China
success,35.86166,104.195397,1578070800,Mostly Cloudy,partly-cloudy-night,23.75,19.73,11.09,0.58,1026,3.16,4.39,144,0.68,0,10,341.3,China
success,35.86166,104.195397,1578124800,Partly Cloudy,partly-cloudy-day,42.65,37.41,27.37,0.54,1010.7,8.86,16.26,132,0.36,1,10,323.2,China
success,35.86166,104.195397,1578139200,Clear,clear-night,32.37,26.06,25.58,0.76,1014.7,6.82,10.97,117,0.2,0,10,319.3,China
success,35.86166,104.195397,1578157200,Overcast,cloudy,28.29,28.29,26.7,0.94,1017.5,2.62,4.99,36,0.99,0,6.684,321.9,China
success,35.86166,104.195397,1578211200,Overcast,cloudy,35.01,30.18,13.51,0.41,1017.6,5.53,7.55,27,0.94,1,10,326.7,China
success,35.86166,104.195397,1578225600,Mostly Cloudy,partly-cloudy-night,23.42,18.72,11.12,0.59,1024.5,3.59,7.85,18,0.79,0,10,323.6,China
success,35.86166,104.195397,1578243600,Mostly Cloudy,partly-cloudy-night,20.68,20.68,6.31,0.53,1027.5,1.68,2.34,333,0.84,0,10,309,China
success,35.86166,104.195397,1578297600,Overcast,cloudy,29.78,24.15,15.85,0.56,1023.1,5.33,6.9,345,0.97,1,10,336.3,China
success,35.86166,104.195397,1578312000,Overcast,cloudy,22.35,22.35,14.96,0.73,1026.6,2.6,4.51,315,0.88,0,10,341.1,China
success,35.86166,104.195397,1578330000,Overcast,cloudy,19.96,19.96,18.49,0.94,1027.9,2.68,4.16,321,0.96,0,10,347.2,China
success,35.86166,104.195397,1578384000,Clear,clear-day,38.27,36.37,16.94,0.42,1019,3.03,5.3,99,0.01,1,10,319.5,China
success,35.86166,104.195397,1578398400,Clear,clear-night,25.64,21.27,16.25,0.67,1022.4,3.58,4.21,145,0.2,0,10,306.3,China
success,35.86166,104.195397,1578416400,Overcast,cloudy,23.42,19.34,18.89,0.83,1023,3.17,4.34,137,0.94,0,10,304.2,China
success,35.86166,104.195397,1578470400,Mostly Cloudy,partly-cloudy-day,36.83,33.18,21.86,0.54,1016.8,4.5,6.2,85,0.61,1,10,291.6,China
success,35.86166,104.195397,1578484800,Partly Cloudy,partly-cloudy-night,28.95,24.1,21.55,0.74,1021.9,4.41,6.2,88,0.59,0,10,290.8,China
success,35.86166,104.195397,1578502800,Overcast,cloudy,24.51,24.51,22.59,0.92,1024.8,2.24,3.19,13,0.95,0,9.423,291.3,China
success,35.86166,104.195397,1578556800,Overcast,cloudy,30.42,26.24,21.56,0.69,1020.5,4.01,4.2,21,0.99,1,8.398,297.3,China
success,35.86166,104.195397,1578571200,Overcast,cloudy,24.24,24.24,19.27,0.81,1025,2.92,3.84,42,0.88,0,6.578,304.9,China
success,35.86166,104.195397,1578589200,Overcast,cloudy,21.25,21.25,20.56,0.97,1026.2,2.07,3.71,27,0.93,0,3.312,310.8,China
success,35.86166,104.195397,1578643200,Overcast,cloudy,29.6,25.23,20.56,0.69,1023,4.07,4.51,353,1,1,7.087,296.1,China
success,35.86166,104.195397,1578657600,Overcast,cloudy,23.63,23.63,17.48,0.77,1028,2.46,4.73,339,1,0,4.778,304.8,China
success,35.86166,104.195397,1578675600,Mostly Cloudy,partly-cloudy-night,19.32,19.32,16.59,0.89,1030.1,2.76,4.21,154,0.86,0,10,312.7,China
success,35.86166,104.195397,1578729600,Clear,clear-day,39.72,39.72,13.63,0.34,1016.5,2.12,3.11,340,0,1,10,331.3,China
success,35.86166,104.195397,1578744000,Clear,clear-night,24.95,24.95,9.93,0.52,1022,2.64,3.04,27,0,0,10,334.2,China
success,35.86166,104.195397,1578762000,Clear,clear-night,17.53,17.53,9.96,0.72,1024,2.73,3.47,97,0.18,0,10,362.3,China
success,35.86166,104.195397,1578816000,Partly Cloudy,partly-cloudy-day,33.71,28.09,18.04,0.52,1018.6,6.24,9.98,95,0.4,1,10,370.4,China
success,35.86166,104.195397,1578830400,Clear,clear-night,23.44,17.82,16.62,0.75,1020.8,4.29,7.06,125,0.13,0,10,355.8,China
success,35.86166,104.195397,1578848400,Mostly Cloudy,partly-cloudy-night,18.82,18.82,16.85,0.92,1025.7,2.07,3,51,0.67,0,4.949,347.8,China
success,35.86166,104.195397,1578902400,Partly Cloudy,partly-cloudy-day,34.43,34.43,20.02,0.55,1018,2.47,2.62,130,0.42,1,10,331.1,China
success,35.86166,104.195397,1578916800,Overcast,cloudy,25.47,25.47,18,0.73,1021.3,2.57,2.61,145,0.95,0,10,329.4,China
success,35.86166,104.195397,1578934800,Clear,clear-night,19.87,15.3,15.86,0.84,1021.5,3.17,3.45,153,0.3,0,10,325.9,China
success,35.86166,104.195397,1580544000,Overcast,cloudy,33.99,28.13,22.81,0.63,1019.6,6.66,10.86,2,0.98,1,10,309.9,China
success,35.86166,104.195397,1580558400,Overcast,cloudy,24.36,20.16,15.69,0.69,1026.9,3.34,5.45,350,0.98,0,10,308.2,China
success,35.86166,104.195397,1580576400,Overcast,cloudy,20.97,20.97,10.8,0.64,1032.6,2.99,5.6,215,1,0,10,320.6,China
success,35.86166,104.195397,1580630400,Overcast,cloudy,37.09,32,9.34,0.31,1025.3,6.42,7.63,113,1,1,10,328.9,China
success,35.86166,104.195397,1580644800,Mostly Cloudy,partly-cloudy-night,23.16,15.69,7.42,0.5,1029.9,6.01,13.82,133,0.69,0,10,333.5,China
success,35.86166,104.195397,1580662800,Clear,clear-night,18.09,12.37,6.19,0.59,1031.2,3.75,5.04,158,0,0,10,332.5,China
success,35.86166,104.195397,1580716800,Clear,clear-day,43.62,43.62,9.9,0.25,1015.3,2.03,3.37,14,0,2,10,339.1,China
success,35.86166,104.195397,1580731200,Clear,clear-night,27.43,27.43,5.72,0.39,1019.9,2.68,2.69,101,0,0,10,336.9,China
success,35.86166,104.195397,1580749200,Clear,clear-night,19.33,19.33,4.3,0.51,1024.6,2.59,3.29,159,0,0,10,335.4,China
success,35.86166,104.195397,1580803200,Clear,clear-day,42.99,42.99,14.35,0.31,1016.1,2.93,4.85,59,0,2,10,340.2,China
success,35.86166,104.195397,1580817600,Clear,clear-night,27.06,23.35,16.05,0.63,1020.9,3.25,4.47,137,0,0,10,335.2,China
success,35.86166,104.195397,1580835600,Clear,clear-night,21.79,17.6,17.14,0.82,1024.4,3.1,4.42,149,0,0,10,334.3,China
success,35.86166,104.195397,1580889600,Overcast,cloudy,36.84,34.61,24.7,0.61,1016.5,3.14,5.19,353,1,1,10,329.2,China
success,35.86166,104.195397,1580904000,Overcast,cloudy,26.82,26.82,20.37,0.76,1022.9,1.91,2.3,318,1,0,10,318.2,China
success,35.86166,104.195397,1580922000,Overcast,cloudy,21.67,21.67,18.7,0.88,1027,1.91,1.94,244,1,0,10,309.4,China
success,35.86166,104.195397,1580976000,Overcast,cloudy,44.1,40.61,18.88,0.36,1016.3,6.06,12.08,119,1,1,10,325.2,China
success,35.86166,104.195397,1580990400,Mostly Cloudy,partly-cloudy-night,29.13,24.03,18.19,0.63,1020.7,4.67,5.36,152,0.85,0,10,330.3,China
success,35.86166,104.195397,1581008400,Mostly Cloudy,partly-cloudy-night,23.13,23.13,19.06,0.84,1024.8,2.28,2.73,142,0.69,0,10,327.5,China
success,35.86166,104.195397,1581062400,Partly Cloudy,partly-cloudy-day,42.54,41.22,21.24,0.42,1021.6,3.01,3.63,51,0.56,2,10,333.6,China
success,35.86166,104.195397,1581076800,Mostly Cloudy,partly-cloudy-night,30.98,30.98,19.26,0.61,1028.3,2.22,4.1,43,0.86,0,10,335.5,China
success,35.86166,104.195397,1581094800,Overcast,cloudy,25.02,25.02,18.99,0.78,1033.2,2.15,3.12,26,1,0,10,344,China
success,35.86166,104.195397,1581148800,Overcast,cloudy,41.36,39.85,16.31,0.36,1028.7,3.05,3.05,22,1,1,10,360.4,China
success,35.86166,104.195397,1581163200,Overcast,cloudy,28,28,13.89,0.55,1033.6,2.14,2.32,149,1,0,10,356.4,China
success,35.86166,104.195397,1581181200,Overcast,cloudy,22.59,22.59,9.07,0.56,1036.2,1.92,2,192,1,0,10,370.1,China
success,35.86166,104.195397,1581235200,Mostly Cloudy,partly-cloudy-day,48.16,47.36,16.35,0.28,1019.5,3.25,7.52,115,0.68,1,10,351.6,China
success,35.86166,104.195397,1581249600,Overcast,cloudy,32.34,27.38,17.21,0.53,1022.9,5.11,6.02,155,0.93,0,10,346.8,China
success,35.86166,104.195397,1581267600,Mostly Cloudy,partly-cloudy-night,26.17,26.17,19.28,0.75,1024.9,2.33,2.68,159,0.87,0,10,317.4,China
success,35.86166,104.195397,1581321600,Overcast,cloudy,51.26,51.26,22.6,0.32,1010.3,2.91,5.04,7,0.91,2,10,314.2,China
success,35.86166,104.195397,1581336000,Mostly Cloudy,partly-cloudy-night,34.99,31.81,22.37,0.6,1015,3.74,4.53,153,0.77,0,10,319.2,China
success,35.86166,104.195397,1581354000,Partly Cloudy,partly-cloudy-night,27.07,27.07,18.51,0.7,1018.6,1.85,2.22,183,0.4,0,10,333.7,China
success,35.86166,104.195397,1581408000,Clear,clear-day,52.95,52.95,10.38,0.18,1010.6,2.88,4.48,306,0,2,10,340.6,China
success,35.86166,104.195397,1581422400,Clear,clear-night,31.75,31.75,9.27,0.38,1016,2.94,3.18,148,0.07,0,10,335.4,China
success,35.86166,104.195397,1581440400,Clear,clear-night,26.78,23.3,-1.29,0.29,1018.8,3.07,4.52,186,0.03,0,10,329.8,China
success,35.86166,104.195397,1581494400,Clear,clear-day,56.64,56.64,9.07,0.15,1007,3.28,4.77,338,0,2,10,330.5,China
success,35.86166,104.195397,1581508800,Clear,clear-night,35.54,32.55,3.23,0.25,1010.8,3.64,4.61,162,0,0,10,329.1,China
success,35.86166,104.195397,1581526800,Clear,clear-night,30.53,26.01,-0.35,0.26,1012.8,4.33,6.16,166,0,0,10,323.6,China
success,35.86166,104.195397,1581580800,Mostly Cloudy,partly-cloudy-day,40.81,33.92,14.64,0.34,1008.1,11.84,13.97,40,0.75,2,10,340.1,China
success,35.86166,104.195397,1581595200,Overcast,cloudy,26.59,18.74,11.5,0.52,1018.6,7.32,13.04,34,0.94,0,10,344.9,China
success,35.86166,104.195397,1581613200,Partly Cloudy,partly-cloudy-night,18.43,13.26,6.55,0.59,1024.5,3.42,7.64,129,0.35,0,10,338.3,China
success,35.86166,104.195397,1583049600,Overcast,cloudy,45.7,41.39,18.56,0.33,1015.9,8.32,12.12,126,0.96,2,10,315.7,China
success,35.86166,104.195397,1583064000,Overcast,cloudy,36.07,31.14,21.33,0.55,1019.3,5.9,13.51,120,0.99,0,10,311.9,China
success,35.86166,104.195397,1583082000,Overcast,cloudy,29.27,29.27,18.21,0.63,1022.7,2.57,4.5,344,0.91,0,10,316.6,China
success,35.86166,104.195397,1583136000,Overcast,cloudy,47.07,43.96,12.6,0.25,1017.7,6.41,6.75,40,0.99,2,10,321.2,China
success,35.86166,104.195397,1583150400,Overcast,cloudy,37,34.22,10.09,0.32,1022.3,3.64,9.79,52,1,0,10,325.5,China
success,35.86166,104.195397,1583168400,Overcast,cloudy,28.84,28.84,7.89,0.41,1026.4,2.89,6.05,124,1,0,10,327.4,China
success,35.86166,104.195397,1583222400,Mostly Cloudy,partly-cloudy-day,52.06,52.06,19.35,0.27,1016.2,3.29,4.13,16,0.84,2,10,354.1,China
success,35.86166,104.195397,1583236800,Partly Cloudy,partly-cloudy-night,37.08,34.68,17.94,0.45,1020.6,3.32,5.36,30,0.39,0,10,359.3,China
success,35.86166,104.195397,1583254800,Partly Cloudy,partly-cloudy-night,31.34,31.34,14.76,0.5,1024.2,2.46,3.28,146,0.45,0,10,349.3,China
success,35.86166,104.195397,1583308800,Clear,clear-day,57.58,57.58,23.18,0.26,1010.5,6.02,9.82,150,0.03,3,10,312.6,China
success,35.86166,104.195397,1583323200,Clear,clear-night,43.48,37.96,24.26,0.46,1012.6,9.99,23.04,144,0.03,0,10,317.1,China
success,35.86166,104.195397,1583341200,Clear,clear-night,35.33,30.58,27.33,0.72,1015.3,5.5,7.07,150,0,0,10,315.9,China
success,35.86166,104.195397,1583395200,Partly Cloudy,partly-cloudy-day,53.66,53.66,30.97,0.42,1005.8,5.41,8.01,90,0.56,3,10,307.6,China
success,35.86166,104.195397,1583409600,Clear,clear-night,42.86,38.73,29.41,0.59,1008.1,6.73,12.4,138,0.18,0,10,309,China
success,35.86166,104.195397,1583427600,Partly Cloudy,partly-cloudy-night,33.99,33.99,30.52,0.87,1013.5,2.72,3.58,46,0.37,0,10,314,China
success,35.86166,104.195397,1583481600,Overcast,cloudy,54.96,54.96,18.38,0.24,1009.1,3.58,3.67,84,0.9,2,10,324.1,China
success,35.86166,104.195397,1583496000,Partly Cloudy,partly-cloudy-night,40.47,35.5,18.56,0.41,1013.5,7.36,16.44,125,0.46,0,10,320.5,China
success,35.86166,104.195397,1583514000,Clear,clear-night,33.74,28.1,21.09,0.59,1015,6.26,12.1,157,0.02,0,10,318.8,China
success,35.86166,104.195397,1583568000,Clear,clear-day,63.68,63.68,33,0.32,997.4,6.19,6.35,117,0.12,3,10,322.1,China
success,35.86166,104.195397,1583582400,Clear,clear-night,49.24,44.51,36.43,0.61,999.7,11.87,18.64,142,0,0,10,312.5,China
success,35.86166,104.195397,1583600400,Clear,clear-night,38.93,35.22,35.14,0.86,1002.4,4.99,7.34,90,0,0,10,306.7,China
success,35.86166,104.195397,1583654400,Overcast,cloudy,38.13,29.96,19.03,0.46,1014.5,13.46,21.19,11,1,2,10,329,China
success,35.86166,104.195397,1583668800,Overcast,cloudy,32.86,24.01,14.3,0.46,1021.7,11.68,21.8,4,1,0,10,340.3,China
success,35.86166,104.195397,1583686800,Overcast,cloudy,27.03,21.45,13.88,0.57,1026.1,4.79,9.22,333,1,0,10,340.9,China
success,35.86166,104.195397,1583740800,Partly Cloudy,partly-cloudy-day,40.27,35.39,11.9,0.31,1023.4,7.12,7.29,7,0.51,2,10,379.5,China
success,35.86166,104.195397,1583755200,Clear,clear-night,28.87,28.87,11.51,0.48,1028.3,2.79,4.46,1,0.18,0,10,374.8,China
success,35.86166,104.195397,1583773200,Clear,clear-night,22.12,22.12,10.46,0.6,1030.1,2.58,3.14,180,0.03,0,10,351.8,China
success,35.86166,104.195397,1583827200,Partly Cloudy,partly-cloudy-day,52.77,52.77,4.64,0.14,1013.6,3.88,6.95,30,0.45,2,10,381.9,China
success,35.86166,104.195397,1583841600,Clear,clear-night,35.67,32.93,8.42,0.32,1016.3,3.44,7.12,112,0.15,0,10,365.6,China
success,35.86166,104.195397,1583859600,Clear,clear-night,28.2,23.55,12.78,0.52,1019.8,4.12,6.16,152,0.02,0,10,348.9,China
success,35.86166,104.195397,1583913600,Mostly Cloudy,partly-cloudy-day,54.6,54.6,15.66,0.21,1006.2,7.7,8.24,0,0.6,3,10,326.6,China
success,35.86166,104.195397,1583928000,Partly Cloudy,partly-cloudy-night,38.89,34.95,15.32,0.38,1012.4,5.28,12.51,30,0.53,0,10,321.2,China
success,35.86166,104.195397,1583946000,Overcast,cloudy,32.47,29.3,6.85,0.33,1018.7,3.41,7.03,38,1,0,10,317.4,China
success,35.86166,104.195397,1584000000,Partly Cloudy,partly-cloudy-day,46.88,41.16,8.12,0.2,1014.1,13.15,13.41,44,0.56,3,10,326.7,China
success,35.86166,104.195397,1584014400,Mostly Cloudy,partly-cloudy-night,35.15,27.31,9.58,0.34,1024.7,10.71,16.06,23,0.65,0,10,333.8,China
success,35.86166,104.195397,1584032400,Mostly Cloudy,partly-cloudy-night,26.34,21.67,21.97,0.83,1033.2,3.89,7.15,331,0.78,0,7.217,322.7,China
