message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,26.820553,30.802498,1577865600,Overcast,cloudy,52.6,52.6,38.84,0.59,1019.7,7.42,13.29,358,0.95,2,10,266.7,Egypt
success,26.820553,30.802498,1577880000,Overcast,cloudy,62.33,62.33,34.35,0.35,1016.2,9.45,12.04,356,0.96,2,10,262.1,Egypt
success,26.820553,30.802498,1577898000,Overcast,cloudy,52.81,52.81,35.16,0.51,1016.8,6.35,10.47,353,1,0,10,261.7,Egypt
success,26.820553,30.802498,1577952000,Clear,clear-day,52.38,52.38,29.89,0.42,1018.9,8.33,11.03,322,0.27,3,10,269.7,Egypt
success,26.820553,30.802498,1577966400,Clear,clear-day,60.35,60.35,27.19,0.28,1017.2,11.02,12.05,322,0.08,3,10,267.4,Egypt
success,26.820553,30.802498,1577984400,Partly Cloudy,partly-cloudy-night,52.27,52.27,29.67,0.42,1019.9,8.52,13,309,0.57,0,10,264.8,Egypt
success,26.820553,30.802498,1578038400,Clear,clear-day,51.12,51.12,42.33,0.72,1023.4,9.73,13.28,348,0,3,10,278,Egypt
success,26.820553,30.802498,1578052800,Clear,clear-day,60.26,60.26,34.91,0.39,1020.3,13.98,17.64,282,0,3,10,279,Egypt
success,26.820553,30.802498,1578070800,Clear,clear-night,50.32,50.32,34.75,0.55,1022.8,8.61,12.54,276,0,0,10,277.5,Egypt
success,26.820553,30.802498,1578124800,Clear,clear-day,49.88,45.35,36.67,0.6,1023.1,11.74,17.3,349,0.13,3,10,289.8,Egypt
success,26.820553,30.802498,1578139200,Clear,clear-day,58.3,58.3,32.47,0.38,1020.3,14.07,16.61,302,0,3,10,290.7,Egypt
success,26.820553,30.802498,1578157200,Clear,clear-night,47.81,44.25,26.51,0.43,1021.6,7.67,10.12,243,0,0,10,295,Egypt
success,26.820553,30.802498,1578211200,Clear,clear-day,50.44,50.44,34.75,0.55,1022.8,7.67,9.5,321,0,3,10,297.9,Egypt
success,26.820553,30.802498,1578225600,Clear,clear-day,57.9,57.9,28.69,0.33,1019.1,10.31,12.14,285,0,3,10,292.7,Egypt
success,26.820553,30.802498,1578243600,Clear,clear-night,45.93,45.93,31.29,0.56,1020.3,2.98,3.95,191,0,0,10,288.4,Egypt
success,26.820553,30.802498,1578297600,Clear,clear-day,53.46,53.46,37.58,0.55,1019.7,10,14.08,213,0,3,10,293.6,Egypt
success,26.820553,30.802498,1578312000,Clear,clear-day,63.42,63.42,34.42,0.34,1016,11.97,15.7,231,0,3,10,291.3,Egypt
success,26.820553,30.802498,1578330000,Clear,clear-night,52.59,52.59,31.17,0.44,1017.5,5.97,9.78,226,0.02,0,10,289.3,Egypt
success,26.820553,30.802498,1578384000,Clear,clear-day,54.5,54.5,37.73,0.53,1020.6,11.04,16.05,254,0.08,3,10,291.3,Egypt
success,26.820553,30.802498,1578398400,Partly Cloudy,partly-cloudy-day,60.19,60.19,36.15,0.41,1018,15.96,22.01,268,0.37,3,10,288,Egypt
success,26.820553,30.802498,1578416400,Clear,clear-night,51.59,51.59,34.18,0.51,1020.1,8.4,13.72,278,0.13,0,10,285.9,Egypt
success,26.820553,30.802498,1578470400,Clear,clear-day,50,46.6,37.08,0.61,1023.3,8.41,12.21,318,0,3,10,292.4,Egypt
success,26.820553,30.802498,1578484800,Clear,clear-day,57.9,57.9,28.45,0.32,1019.8,10.97,13.84,301,0.04,3,10,291.5,Egypt
success,26.820553,30.802498,1578502800,Clear,clear-night,49.22,46.57,26.16,0.4,1021.7,6.34,11.34,276,0,0,10,290.6,Egypt
success,26.820553,30.802498,1578556800,Partly Cloudy,partly-cloudy-day,51.37,51.37,39.51,0.64,1022.5,10.57,16.92,321,0.38,3,10,307.2,Egypt
success,26.820553,30.802498,1578571200,Partly Cloudy,partly-cloudy-day,57.63,57.63,34.12,0.41,1018.9,15.07,19.28,300,0.48,3,10,297.4,Egypt
success,26.820553,30.802498,1578589200,Clear,clear-night,49.88,46.42,31.92,0.5,1020.4,8.51,12.52,291,0.21,0,10,299.3,Egypt
success,26.820553,30.802498,1578643200,Clear,clear-day,50.67,50.67,42.47,0.73,1021.4,15.07,23.44,301,0.01,3,10,308.1,Egypt
success,26.820553,30.802498,1578657600,Clear,clear-day,58.48,58.48,41.31,0.53,1019.1,15.16,20.7,326,0.15,3,10,304.9,Egypt
success,26.820553,30.802498,1578675600,Clear,clear-night,53.13,53.13,41.64,0.65,1021.4,9.46,14.07,323,0.11,0,10,300.1,Egypt
success,26.820553,30.802498,1578729600,Clear,clear-day,53.22,53.22,45.45,0.75,1025.7,7.31,13.3,356,0,3,10,296.2,Egypt
success,26.820553,30.802498,1578744000,Clear,clear-day,61.92,61.92,39.2,0.43,1023.2,9.2,9.42,355,0,3,10,290.6,Egypt
success,26.820553,30.802498,1578762000,Partly Cloudy,partly-cloudy-night,52.7,52.7,37.26,0.56,1024.8,4.5,8.64,5,0.55,0,10,286,Egypt
success,26.820553,30.802498,1578816000,Partly Cloudy,partly-cloudy-day,54.85,54.85,40.22,0.58,1026.2,2.65,4.17,65,0.38,3,10,286.9,Egypt
success,26.820553,30.802498,1578830400,Clear,clear-day,65.38,65.38,33.26,0.3,1022,3.23,3.23,334,0.28,3,10,281.1,Egypt
success,26.820553,30.802498,1578848400,Clear,clear-night,55.76,55.76,36.72,0.49,1022.8,6.39,9.98,3,0.11,0,10,281.2,Egypt
success,26.820553,30.802498,1578902400,Mostly Cloudy,partly-cloudy-day,56.67,56.67,38.61,0.51,1024.5,7.37,11.13,16,0.77,2,10,288.9,Egypt
success,26.820553,30.802498,1578916800,Mostly Cloudy,partly-cloudy-day,68.48,68.48,35.51,0.3,1020.7,11,12.09,8,0.81,3,10,292.8,Egypt
success,26.820553,30.802498,1578934800,Partly Cloudy,partly-cloudy-night,57.61,57.61,35.59,0.44,1021.8,7.39,11.44,6,0.39,0,10,287.5,Egypt
success,26.820553,30.802498,1580544000,Clear,clear-day,55.81,55.81,38.26,0.52,1023.7,9.35,14.92,1,0,3,10,316.7,Egypt
success,26.820553,30.802498,1580558400,Clear,clear-day,66.54,66.54,34.95,0.31,1020.7,12.57,13.3,349,0,4,10,312.3,Egypt
success,26.820553,30.802498,1580576400,Clear,clear-night,56.3,56.3,35.9,0.46,1021.7,8.23,12.23,352,0,0,10,313.9,Egypt
success,26.820553,30.802498,1580630400,Clear,clear-day,55.45,55.45,39.12,0.54,1023.3,8.31,11.48,354,0,3,10,323.3,Egypt
success,26.820553,30.802498,1580644800,Clear,clear-day,67.47,67.47,24.09,0.19,1019.8,10.92,10.96,354,0,4,10,324,Egypt
success,26.820553,30.802498,1580662800,Clear,clear-night,57.17,57.17,29.73,0.35,1021.6,8.66,11.52,343,0,0,10,324.8,Egypt
success,26.820553,30.802498,1580716800,Clear,clear-day,55.37,55.37,40.26,0.57,1022.4,11.25,14.23,342,0,4,10,302.4,Egypt
success,26.820553,30.802498,1580731200,Clear,clear-day,68.73,68.73,33.94,0.28,1019.6,14.91,15.68,345,0,4,10,297.9,Egypt
success,26.820553,30.802498,1580749200,Clear,clear-night,58.61,58.61,37.47,0.45,1020.4,10.71,17.82,357,0,0,10,300.5,Egypt
success,26.820553,30.802498,1580803200,Clear,clear-day,57.96,57.96,45.27,0.63,1021.6,10.67,17.38,342,0,4,10,304,Egypt
success,26.820553,30.802498,1580817600,Clear,clear-day,69.09,69.09,41.44,0.37,1017.7,13.82,15.93,340,0,4,10,312.7,Egypt
success,26.820553,30.802498,1580835600,Clear,clear-night,58.95,58.95,40.63,0.51,1017.8,7.65,12.25,323,0,0,10,313.5,Egypt
success,26.820553,30.802498,1580889600,Clear,clear-day,60.65,60.65,43.17,0.52,1017.9,5.64,5.86,208,0,4,10,309.8,Egypt
success,26.820553,30.802498,1580904000,Clear,clear-day,72.05,72.05,36.14,0.27,1015.1,7.71,10.06,258,0,4,10,305.7,Egypt
success,26.820553,30.802498,1580922000,Clear,clear-night,61.07,61.07,33.52,0.35,1015.7,4.38,7.67,239,0,0,10,309.4,Egypt
success,26.820553,30.802498,1580976000,Clear,clear-day,66.21,66.21,33.95,0.3,1017.5,13.11,19.41,203,0,4,10,293.4,Egypt
success,26.820553,30.802498,1580990400,Clear,clear-day,75.87,75.87,19.82,0.12,1015,12.03,14.64,247,0,4,10,297.6,Egypt
success,26.820553,30.802498,1581008400,Clear,clear-night,65.13,65.13,25.31,0.22,1016.5,5.76,10.35,278,0,0,10,296,Egypt
success,26.820553,30.802498,1581062400,Clear,clear-day,57.98,57.98,38.51,0.48,1021.3,13.28,17.59,324,0.19,4,10,292.5,Egypt
success,26.820553,30.802498,1581076800,Clear,clear-day,64.35,64.35,36.27,0.35,1019.4,17.06,20.78,305,0.2,4,10,290.8,Egypt
success,26.820553,30.802498,1581094800,Clear,clear-night,55.72,55.72,17.12,0.22,1021.1,11.81,16.14,297,0.12,0,10,294.8,Egypt
success,26.820553,30.802498,1581148800,Clear,clear-day,54.09,54.09,35.33,0.49,1026.8,12.37,17.99,315,0,4,10,286.8,Egypt
success,26.820553,30.802498,1581163200,Clear,clear-day,61.95,61.95,24.11,0.23,1023.8,15.91,19.08,317,0.05,5,10,291.3,Egypt
success,26.820553,30.802498,1581181200,Clear,clear-night,53.38,53.38,30.58,0.42,1024.8,8.93,14.67,329,0,0,10,289.7,Egypt
success,26.820553,30.802498,1581235200,Clear,clear-day,52.77,52.77,37.03,0.55,1028,12.09,15.64,339,0,4,10,294.3,Egypt
success,26.820553,30.802498,1581249600,Clear,clear-day,60.92,60.92,31.03,0.32,1025.4,15.53,18.9,340,0,5,10,294.9,Egypt
success,26.820553,30.802498,1581267600,Clear,clear-night,52.95,52.95,33.73,0.48,1027.3,11.33,17.44,355,0,0,10,295.7,Egypt
success,26.820553,30.802498,1581321600,Clear,clear-day,50.29,50.29,34.74,0.55,1028.5,15.19,23.36,352,0,4,10,294.9,Egypt
success,26.820553,30.802498,1581336000,Clear,clear-day,61.28,61.28,31.36,0.32,1024.7,17.22,21.96,344,0,5,10,297.8,Egypt
success,26.820553,30.802498,1581354000,Clear,clear-night,51.89,51.89,33.68,0.5,1025.7,13.25,24.17,342,0,0,10,306.9,Egypt
success,26.820553,30.802498,1581408000,Clear,clear-day,51.23,51.23,39.09,0.63,1027,7.71,12.44,337,0,4,10,318.5,Egypt
success,26.820553,30.802498,1581422400,Clear,clear-day,63.74,63.74,33.02,0.32,1023.6,12.05,14.25,330,0,4,10,322.6,Egypt
success,26.820553,30.802498,1581440400,Clear,clear-night,53.37,53.37,32.4,0.45,1024.5,5.82,11.11,342,0,0,10,330.9,Egypt
success,26.820553,30.802498,1581494400,Clear,clear-day,56.6,56.6,35.08,0.44,1025.6,2.07,2.98,344,0.15,3,10,336.5,Egypt
success,26.820553,30.802498,1581508800,Clear,clear-day,70.81,70.81,30.41,0.22,1021.6,4.21,4.98,330,0.1,4,10,331.6,Egypt
success,26.820553,30.802498,1581526800,Clear,clear-night,59.76,59.76,30.48,0.33,1022.6,4.11,8.71,6,0,0,10,325.2,Egypt
success,26.820553,30.802498,1581580800,Clear,clear-day,61.77,61.77,34.05,0.35,1022.7,3.21,5.66,78,0,4,10,307.9,Egypt
success,26.820553,30.802498,1581595200,Clear,clear-day,76.73,76.73,29.93,0.18,1020.8,5.56,5.56,358,0,5,10,306.9,Egypt
success,26.820553,30.802498,1581613200,Clear,clear-night,64.94,64.94,35.44,0.33,1021.5,6.92,10.4,358,0.07,0,10,299.8,Egypt
