message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,9.145,40.489673,1577865600,Clear,clear-day,73.53,73.54,60.12,0.63,1014,7.04,8.07,348,0.22,9,10,238.2,Ethiopia
success,9.145,40.489673,1577880000,Partly Cloudy,partly-cloudy-day,78.45,78.53,60.41,0.54,1009.8,9.91,9.91,17,0.57,5,10,235.4,Ethiopia
success,9.145,40.489673,1577898000,Clear,clear-night,72.21,72.21,58.46,0.62,1012.1,6.98,10.22,68,0.21,0,10,235.7,Ethiopia
success,9.145,40.489673,1577952000,Mostly Cloudy,partly-cloudy-day,74.65,75.05,63.73,0.69,1013.1,5.98,6.13,337,0.61,7,10,240.6,Ethiopia
success,9.145,40.489673,1577966400,Partly Cloudy,partly-cloudy-day,78.53,78.77,62.11,0.57,1009.5,8.57,9.57,35,0.55,5,10,240.2,Ethiopia
success,9.145,40.489673,1577984400,Mostly Cloudy,partly-cloudy-night,72.02,72.17,61.38,0.69,1012.2,5.4,7.82,74,0.8,0,10,244,Ethiopia
success,9.145,40.489673,1578038400,Clear,clear-day,74.65,74.65,59.24,0.59,1015.9,5.84,6.2,323,0.23,8,10,239.1,Ethiopia
success,9.145,40.489673,1578052800,Clear,clear-day,80.41,80.41,53.17,0.39,1009.9,9.09,10.38,7,0.12,6,10,238.3,Ethiopia
success,9.145,40.489673,1578070800,Clear,clear-night,74.12,74.12,50.93,0.44,1012.8,7.02,9.73,66,0.03,0,10,237.8,Ethiopia
success,9.145,40.489673,1578124800,Partly Cloudy,partly-cloudy-day,72.81,72.81,59.79,0.64,1014.4,6.92,7,321,0.45,8,10,237.9,Ethiopia
success,9.145,40.489673,1578139200,Mostly Cloudy,partly-cloudy-day,77.96,77.96,53.52,0.43,1009.5,6.23,6.23,5,0.78,4,10,234,Ethiopia
success,9.145,40.489673,1578157200,Mostly Cloudy,partly-cloudy-night,73.56,73.56,52.27,0.47,1011.1,5.95,6.92,73,0.77,0,10,235.8,Ethiopia
success,9.145,40.489673,1578211200,Clear,clear-day,74.67,74.67,56.22,0.53,1013.1,6.45,6.48,21,0.27,8,10,238.5,Ethiopia
success,9.145,40.489673,1578225600,Clear,clear-day,79.99,79.99,56.61,0.45,1007.5,8.18,8.18,0,0.16,5,10,239.2,Ethiopia
success,9.145,40.489673,1578243600,Clear,clear-night,73.5,73.5,55.79,0.54,1011.1,7.31,9.08,57,0.02,0,10,241.9,Ethiopia
success,9.145,40.489673,1578297600,Clear,clear-day,71.75,72.24,64.1,0.77,1014.7,6.92,6.92,354,0.07,9,10,241,Ethiopia
success,9.145,40.489673,1578312000,Partly Cloudy,partly-cloudy-day,77.13,77.18,60.27,0.56,1008.9,7.91,7.91,4,0.46,5,10,237.3,Ethiopia
success,9.145,40.489673,1578330000,Partly Cloudy,partly-cloudy-night,72.22,72.22,57.95,0.61,1013.3,8.09,9.78,50,0.54,0,10,240.6,Ethiopia
success,9.145,40.489673,1578384000,Mostly Cloudy,partly-cloudy-day,71.72,72.24,64.33,0.78,1016.1,8.91,11.31,9,0.72,6,10,242.7,Ethiopia
success,9.145,40.489673,1578398400,Mostly Cloudy,partly-cloudy-day,76.22,76.22,58.85,0.55,1011.7,10.26,12.13,6,0.83,4,10,241.9,Ethiopia
success,9.145,40.489673,1578416400,Mostly Cloudy,partly-cloudy-night,71.32,71.32,57.27,0.61,1015,6.92,11.06,37,0.68,0,10,243.2,Ethiopia
success,9.145,40.489673,1578470400,Partly Cloudy,partly-cloudy-day,73.02,73.02,57.94,0.59,1015.9,8.41,8.42,350,0.59,7,10,243.6,Ethiopia
success,9.145,40.489673,1578484800,Mostly Cloudy,partly-cloudy-day,78.44,78.44,50.4,0.38,1011.6,9.09,9.1,358,0.76,4,10,240.9,Ethiopia
success,9.145,40.489673,1578502800,Clear,clear-night,71.78,71.78,49.63,0.46,1014.2,6.11,6.94,52,0.3,0,10,241,Ethiopia
success,9.145,40.489673,1578556800,Clear,clear-day,74.14,74.14,58.59,0.58,1015,5.65,5.9,349,0.23,8,10,241.4,Ethiopia
success,9.145,40.489673,1578571200,Clear,clear-day,79.9,79.9,57.5,0.46,1008.5,8.85,8.85,353,0.26,5,10,239.4,Ethiopia
