message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,71.706936,-42.604303,1577865600,Foggy,fog,-54.81,-80.4,-82.52,0.15,1024.8,7.72,7.77,201,0.68,0,1.314,324,Greenland
success,71.706936,-42.604303,1577880000,Foggy,fog,-56.81,-83.62,-83.72,0.16,1026.9,8.19,8.19,196,0.57,0,1.438,323.1,Greenland
success,71.706936,-42.604303,1577898000,Foggy,fog,-56.85,-84.7,-84.97,0.14,1027.5,8.83,8.83,180,0.75,0,1.991,324.5,Greenland
success,71.706936,-42.604303,1577952000,Partly Cloudy,partly-cloudy-night,-65,-90.77,-104.08,0.05,1035,6.69,7.09,201,0.52,0,3.863,312.1,Greenland
success,71.706936,-42.604303,1577966400,Partly Cloudy,partly-cloudy-night,-66.55,-92,-106.7,0.05,1036.5,6.39,6.4,89,0.41,0,10,304.2,Greenland
success,71.706936,-42.604303,1577984400,Partly Cloudy,partly-cloudy-night,-69.6,-94.44,-109.05,0.05,1040.2,5.86,6.64,98,0.41,0,10,302.1,Greenland
success,71.706936,-42.604303,1578038400,Foggy,fog,-48.44,-83.42,-73.58,0.19,1038,17.26,18.14,155,0.83,0,1.012,296.8,Greenland
success,71.706936,-42.604303,1578052800,Foggy,fog,-37.37,-70.62,-49.78,0.48,1031.3,19.4,23.01,176,0.93,0,0.36,277.4,Greenland
success,71.706936,-42.604303,1578070800,Foggy,fog,-28.55,-60.81,-35.81,0.67,1024.7,22.29,28.32,186,0.99,0,0.37,270.4,Greenland
success,71.706936,-42.604303,1578124800,Foggy,fog,-17.88,-47.35,-23.64,0.74,1007.9,23.63,30.81,185,0.88,0,0.393,265.2,Greenland
success,71.706936,-42.604303,1578139200,Foggy,fog,-18.56,-46.62,-22.99,0.79,1004,20.49,26.23,173,0.86,0,0.189,264.9,Greenland
success,71.706936,-42.604303,1578157200,Foggy,fog,-16,-40.09,-19.34,0.84,994.1,15.29,22.21,161,0.95,0,0.375,265.5,Greenland
success,71.706936,-42.604303,1578211200,Foggy,fog,-21.01,-43.32,-32.13,0.55,990,11.37,12.48,137,0.97,0,0.687,274.2,Greenland
