message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,-0.789275,113.921327,1577865600,Humid and Overcast,cloudy,86.77,96.18,75.08,0.68,1008.6,1.73,2.67,173,1,3,10,240.5,Indonesia
success,-0.789275,113.921327,1577880000,Humid and Overcast,cloudy,76.86,78.38,73.01,0.88,1012.4,3.13,3.19,297,1,0,10,243,Indonesia
success,-0.789275,113.921327,1577898000,Possible Drizzle and Humid,rain,75.05,76.78,73.95,0.96,1012,1.41,2.75,266,1,0,10,247.1,Indonesia
success,-0.789275,113.921327,1577952000,Humid and Overcast,cloudy,85.49,94.25,75.01,0.71,1009.5,1.55,3.68,171,0.93,3,10,238.6,Indonesia
success,-0.789275,113.921327,1577966400,Humid and Overcast,cloudy,77.12,78.64,73.06,0.87,1010.7,1.42,1.51,119,0.99,0,10,238.6,Indonesia
success,-0.789275,113.921327,1577984400,Rain and Humid,rain,74.46,76.23,73.94,0.98,1011.2,1.45,2.04,322,1,0,10,243.5,Indonesia
success,-0.789275,113.921327,1578038400,Possible Light Rain and Humid,rain,80.84,87.65,76.6,0.87,1008.4,1.47,1.91,212,0.93,3,10,240,Indonesia
success,-0.789275,113.921327,1578052800,Humid and Overcast,cloudy,75.7,77.22,72.75,0.91,1010.2,2.29,2.29,46,1,0,10,243.3,Indonesia
success,-0.789275,113.921327,1578070800,Humid and Overcast,cloudy,74.72,76.42,73.59,0.96,1009.1,1.89,10.34,358,1,0,10,246,Indonesia
success,-0.789275,113.921327,1578124800,Humid and Mostly Cloudy,partly-cloudy-day,87.4,96.81,74.83,0.66,1005.3,2.56,4.76,34,0.66,3,10,240.7,Indonesia
success,-0.789275,113.921327,1578139200,Mostly Cloudy,partly-cloudy-night,76.76,77.91,70.24,0.8,1008.2,3.05,3.05,17,0.8,0,10,242.4,Indonesia
success,-0.789275,113.921327,1578157200,Mostly Cloudy,partly-cloudy-night,73.83,75.28,71.66,0.93,1008.2,1.16,1.39,325,0.78,0,10,243.2,Indonesia
success,-0.789275,113.921327,1578211200,Humid and Overcast,cloudy,83.27,90.71,74.9,0.76,1006.5,3.31,8.24,81,0.99,3,10,235.7,Indonesia
success,-0.789275,113.921327,1578225600,Humid and Overcast,cloudy,76.46,77.89,72.24,0.87,1008.7,1.45,1.81,43,0.98,0,10,240.5,Indonesia
success,-0.789275,113.921327,1578243600,Humid and Mostly Cloudy,partly-cloudy-night,74.36,76.11,73.77,0.98,1009,1.54,1.78,42,0.72,0,10,244.6,Indonesia
success,-0.789275,113.921327,1578297600,Humid and Mostly Cloudy,partly-cloudy-day,85.45,93.73,74.52,0.7,1006.3,3.16,5.04,71,0.82,3,10,240,Indonesia
success,-0.789275,113.921327,1578312000,Humid and Mostly Cloudy,partly-cloudy-night,78.2,79.61,72.49,0.83,1009.2,2.13,3.92,74,0.77,0,10,239.9,Indonesia
success,-0.789275,113.921327,1578330000,Humid and Overcast,cloudy,75.08,76.81,73.91,0.96,1009.2,1.36,1.64,207,0.99,0,10,242.1,Indonesia
success,-0.789275,113.921327,1578384000,Humid and Overcast,cloudy,88.59,95.83,72.3,0.59,1005.9,2.64,4.44,118,0.93,3,10,245.2,Indonesia
