message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,36.204824,138.252924,1577865600,Clear,clear-night,31.93,27.52,18.9,0.58,1021.7,4.45,9.52,213,0,0,10,314.4,Japan
success,36.204824,138.252924,1577880000,Clear,clear-night,26.26,22.39,19.46,0.75,1023.5,3.29,5.44,236,0,0,10,312.2,Japan
success,36.204824,138.252924,1577898000,Clear,clear-night,23.53,23.53,19.65,0.85,1022.7,2.76,4.1,252,0,0,10,310.3,Japan
success,36.204824,138.252924,1577952000,Clear,clear-night,31.75,31.75,24.55,0.74,1021.2,2.96,5.26,245,0,0,10,321,Japan
success,36.204824,138.252924,1577966400,Clear,clear-night,25.35,25.35,21.4,0.85,1022.1,2.5,3.61,236,0.02,0,10,328.2,Japan
success,36.204824,138.252924,1577984400,Clear,clear-night,22.97,18.21,19.08,0.85,1019.5,3.59,9.16,224,0,0,10,344.1,Japan
success,36.204824,138.252924,1578038400,Clear,clear-night,34.1,30.02,25.37,0.7,1015.8,4.48,9.02,220,0.15,0,10,358.1,Japan
success,36.204824,138.252924,1578052800,Clear,clear-night,27.43,23.59,22.74,0.82,1016.5,3.38,7,240,0.14,0,10,366.4,Japan
success,36.204824,138.252924,1578070800,Partly Cloudy,partly-cloudy-night,27.07,27.07,23.73,0.87,1016.8,2.59,4.28,337,0.39,0,2.684,370.7,Japan
success,36.204824,138.252924,1578124800,Clear,clear-night,31.07,31.07,21.87,0.68,1013.6,2.96,5.5,191,0.06,0,10,387,Japan
success,36.204824,138.252924,1578139200,Snow,snow,29.06,23.05,24.89,0.84,1014.6,5.63,13.27,322,0.24,0,0.969,420.8,Japan
success,36.204824,138.252924,1578157200,Overcast,cloudy,24.62,24.62,22.91,0.93,1017.7,2.76,4.89,334,0.95,0,2.342,375,Japan
success,36.204824,138.252924,1578211200,Clear,clear-night,27.62,23.11,17.2,0.64,1024.8,3.92,6.54,307,0.28,0,10,334,Japan
success,36.204824,138.252924,1578225600,Clear,clear-night,22.48,17.09,17.53,0.81,1027.7,3.99,6.81,263,0.1,0,10,331.5,Japan
success,36.204824,138.252924,1578243600,Partly Cloudy,partly-cloudy-night,21.75,16.74,18.18,0.86,1028.5,3.63,6.34,271,0.47,0,6.963,330.5,Japan
success,36.204824,138.252924,1578297600,Mostly Cloudy,partly-cloudy-night,30.78,27.66,24,0.76,1026.3,3.19,4.92,302,0.75,0,10,316.3,Japan
success,36.204824,138.252924,1578312000,Overcast,cloudy,24.9,24.9,20.43,0.83,1027.1,2.91,4.44,288,1,0,10,311.5,Japan
success,36.204824,138.252924,1578330000,Partly Cloudy,partly-cloudy-night,25.15,25.15,20.96,0.84,1026.5,1.41,1.49,239,0.34,0,10,305.8,Japan
success,36.204824,138.252924,1578384000,Rain,rain,37.08,33.12,33.53,0.87,1022,4.92,5.6,138,0.94,0,0,276.4,Japan
success,36.204824,138.252924,1578398400,Light Rain,rain,36.04,31.53,34.35,0.93,1019.9,5.35,7.35,127,0.9,0,3.046,276.2,Japan
success,36.204824,138.252924,1578416400,Overcast,cloudy,38.25,33.65,37.88,0.99,1013.9,6.04,7.92,158,0.92,0,9.643,277.3,Japan
success,36.204824,138.252924,1578470400,Windy and Partly Cloudy,wind,44.23,37.62,36.57,0.74,997.2,13.73,40.58,232,0.41,0,10,276.9,Japan
success,36.204824,138.252924,1578484800,Partly Cloudy,partly-cloudy-night,40.61,33.89,31.23,0.69,999.3,11.24,34.28,249,0.46,0,10,283.9,Japan
success,36.204824,138.252924,1578502800,Partly Cloudy,partly-cloudy-night,36.09,30.02,30.58,0.8,1007.4,7.67,11.8,315,0.49,0,4.181,278.4,Japan
success,36.204824,138.252924,1578556800,Partly Cloudy,partly-cloudy-night,36.52,33.91,26.86,0.68,1013.6,3.43,5.78,296,0.58,0,10,282.2,Japan
success,36.204824,138.252924,1578571200,Partly Cloudy,partly-cloudy-night,32.29,28.93,26.03,0.77,1014.5,3.54,5.64,282,0.57,0,10,289.2,Japan
success,36.204824,138.252924,1578589200,Partly Cloudy,partly-cloudy-night,30.49,30.49,27.49,0.88,1015.8,2.51,3.71,298,0.58,0,7.089,288,Japan
success,36.204824,138.252924,1578643200,Overcast,cloudy,32.24,32.24,24.26,0.72,1018,2.5,4.36,318,0.88,0,10,306.5,Japan
success,36.204824,138.252924,1578657600,Mostly Cloudy,partly-cloudy-night,25.03,25.03,20.78,0.84,1019.2,2.08,2.24,260,0.76,0,10,323.7,Japan
success,36.204824,138.252924,1578675600,Clear,clear-night,22.99,22.99,20.52,0.9,1019,1.76,2.14,227,0.15,0,10,323.6,Japan
