message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,23.634501,-102.552784,1577865600,Overcast,cloudy,50.56,50.56,48.43,0.92,1015.5,5.5,12.22,167,1,0,10,246.1,Mexico
success,23.634501,-102.552784,1577880000,Overcast,cloudy,48.56,45.23,48.56,1,1014,7.48,14.08,141,0.97,0,10,242.5,Mexico
success,23.634501,-102.552784,1577898000,Mostly Cloudy,partly-cloudy-day,58.09,58.09,49.19,0.72,1011.3,19.7,38.48,185,0.81,4,10,249.4,Mexico
success,23.634501,-102.552784,1577952000,Rain,rain,50.89,50.89,49.5,0.95,1008.3,13.69,29.71,286,0.94,0,8.372,252.3,Mexico
success,23.634501,-102.552784,1577966400,Overcast,cloudy,47.64,42.6,47.64,1,1007.6,11.52,17.11,249,0.92,0,10,254.7,Mexico
success,23.634501,-102.552784,1577984400,Dangerously Windy and Mostly Cloudy,wind,51.83,51.83,37.94,0.59,1010.3,29.12,54.77,237,0.66,4,10,263.3,Mexico
success,23.634501,-102.552784,1578038400,Clear,clear-night,37.76,31.4,31.66,0.78,1015.7,8.89,21.31,245,0,0,10,264.6,Mexico
success,23.634501,-102.552784,1578052800,Clear,clear-night,32.85,26.1,27.45,0.8,1018.6,7.65,12.03,241,0,0,10,264,Mexico
success,23.634501,-102.552784,1578070800,Clear,clear-day,49.26,46.46,28.49,0.44,1019.1,6.64,11.54,7,0,4,10,256.9,Mexico
success,23.634501,-102.552784,1578124800,Clear,clear-night,32.01,29.17,28.64,0.87,1031.5,3.11,4.98,1,0,0,10,268,Mexico
success,23.634501,-102.552784,1578139200,Clear,clear-night,28.78,25.61,24.68,0.84,1033.5,3.05,3.31,273,0,0,10,267.7,Mexico
success,23.634501,-102.552784,1578157200,Clear,clear-day,41.15,41.15,22.9,0.48,1031.5,2.77,4.33,124,0.01,4,10,265.7,Mexico
success,23.634501,-102.552784,1578211200,Clear,clear-night,33.25,30.66,21.14,0.61,1031.3,3.06,3.91,168,0.02,0,10,254,Mexico
