message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,47.5053,111.3008,1577865600,Clear,clear-day,-0.41,-8.84,-22.94,0.33,1032.9,3.72,3.8,242,0.05,0,10,400.8,Montana
success,47.5053,111.3008,1577880000,Clear,clear-night,-7.23,-17.66,-30.02,0.31,1035.4,4.22,5.06,243,0,0,10,401.6,Montana
success,47.5053,111.3008,1577898000,Clear,clear-night,-8.72,-21.61,-36.02,0.24,1036.4,5.54,6.63,245,0,0,10,387.8,Montana
success,47.5053,111.3008,1577952000,Clear,clear-day,7.25,-4.15,-5.02,0.56,1030.4,6.82,12.04,256,0.03,0,10,414.9,Montana
success,47.5053,111.3008,1577966400,Clear,clear-night,0.67,-9.77,-15.11,0.46,1033.1,5.03,6.61,250,0,0,10,415.3,Montana
success,47.5053,111.3008,1577984400,Clear,clear-night,-3.18,-14.88,-25.75,0.32,1033.6,5.42,6.73,248,0,0,10,395.6,Montana
success,47.5053,111.3008,1578038400,Mostly Cloudy,partly-cloudy-day,9.95,-0.05,-4.38,0.52,1029,6.02,6.54,246,0.72,0,10,369.4,Montana
success,47.5053,111.3008,1578052800,Partly Cloudy,partly-cloudy-night,3.01,-9.06,-14.03,0.44,1031.8,6.65,6.91,245,0.43,0,10,363.2,Montana
success,47.5053,111.3008,1578070800,Clear,clear-night,-0.19,-10.87,-22.94,0.32,1032.9,5.09,6.35,245,0,0,10,358.8,Montana
success,47.5053,111.3008,1578124800,Partly Cloudy,partly-cloudy-day,8.03,-2.05,-4.84,0.55,1029.5,5.77,6.41,253,0.34,0,10,357.3,Montana
success,47.5053,111.3008,1578139200,Clear,clear-night,2.11,-7.13,-14.47,0.45,1031.4,4.4,6.7,243,0.21,0,10,354.7,Montana
success,47.5053,111.3008,1578157200,Clear,clear-night,-2.26,-11.27,-23.72,0.34,1030.8,3.88,5.59,249,0.04,0,10,354.4,Montana
success,47.5053,111.3008,1578211200,Overcast,cloudy,10.45,10.45,0.03,0.62,1023.3,2.75,3.17,285,0.93,0,10,367.6,Montana
success,47.5053,111.3008,1578225600,Foggy,fog,4.3,-4.18,-9.31,0.52,1026.3,4.16,4.86,280,0.87,0,0.808,377.6,Montana
success,47.5053,111.3008,1578243600,Overcast,cloudy,2,-6.19,-16.73,0.4,1029.2,3.78,4.25,213,0.88,0,10,395.5,Montana
success,47.5053,111.3008,1578297600,Clear,clear-day,8.46,0.96,-4.26,0.55,1034.1,3.95,4.44,242,0,0,10,431,Montana
success,47.5053,111.3008,1578312000,Clear,clear-night,1.46,-6.69,-15.87,0.43,1036.4,3.72,4.86,241,0,0,10,433.8,Montana
success,47.5053,111.3008,1578330000,Clear,clear-night,-6.72,-17.34,-25.58,0.38,1038.9,4.37,5.3,239,0.07,0,10,429.9,Montana
success,47.5053,111.3008,1578384000,Clear,clear-day,0.47,-6.62,-11.79,0.55,1036.9,3.12,3.31,258,0,0,10,447.8,Montana
success,47.5053,111.3008,1578398400,Clear,clear-night,-10.28,-19.7,-24.77,0.48,1039.5,3.5,3.63,241,0,0,10,441.8,Montana
success,47.5053,111.3008,1578416400,Clear,clear-night,-13.26,-23.57,-32.97,0.35,1038.3,3.7,4.43,238,0.27,0,10,440.1,Montana
success,47.5053,111.3008,1578470400,Clear,clear-day,-0.73,-9.9,-14.36,0.51,1033.8,4.1,5.44,256,0.29,0,10,408.9,Montana
success,47.5053,111.3008,1578484800,Partly Cloudy,partly-cloudy-night,-10.77,-21.33,-25.38,0.47,1035.5,4,5.43,236,0.33,0,10,413.4,Montana
success,47.5053,111.3008,1578502800,Mostly Cloudy,partly-cloudy-night,-12.27,-24.2,-33.59,0.32,1034.2,4.59,6.2,239,0.68,0,10,401.7,Montana
success,47.5053,111.3008,1578556800,Clear,clear-day,0.4,-9.88,-12.79,0.53,1029.2,4.89,5.56,256,0.09,0,10,379,Montana
success,47.5053,111.3008,1578571200,Partly Cloudy,partly-cloudy-night,-7.53,-18.42,-26.41,0.38,1031.7,4.44,4.75,248,0.37,0,10,379.9,Montana
success,47.5053,111.3008,1578589200,Clear,clear-night,-9.67,-21.9,-35.56,0.26,1032.6,5.02,5.42,245,0,0,10,393.6,Montana
success,47.5053,111.3008,1578643200,Clear,clear-day,6.21,-4.78,-8.81,0.49,1032.4,6.26,9.21,266,0,0,10,395,Montana
success,47.5053,111.3008,1578657600,Clear,clear-night,-2.15,-12.1,-20.81,0.4,1035.6,4.41,5.37,246,0,0,10,380.6,Montana
success,47.5053,111.3008,1578675600,Clear,clear-night,-8.65,-18.85,-34.81,0.25,1037.5,3.98,4.88,244,0,0,10,386.9,Montana
success,47.5053,111.3008,1578729600,Clear,clear-day,-1.38,-9,-17.39,0.46,1033.4,3.25,3.72,247,0.17,0,10,406.6,Montana
success,47.5053,111.3008,1578744000,Clear,clear-night,-8.52,-8.52,-29.84,0.33,1035.2,2.85,3.41,247,0.09,0,10,404.8,Montana
success,47.5053,111.3008,1578762000,Clear,clear-night,-13.67,-24.11,-42.41,0.21,1035.5,3.73,4.07,246,0,0,10,383.1,Montana
success,47.5053,111.3008,1578816000,Clear,clear-day,-2.23,-13.98,-18.47,0.45,1029.9,5.58,6.1,247,0,0,10,349.8,Montana
success,47.5053,111.3008,1578830400,Clear,clear-night,-8.96,-20.88,-30.52,0.33,1032.4,4.9,5.91,250,0,0,10,345.2,Montana
success,47.5053,111.3008,1578848400,Clear,clear-night,-13.2,-26.11,-42.42,0.21,1032.6,5.05,5.89,247,0.01,0,10,351.8,Montana
success,47.5053,111.3008,1578902400,Clear,clear-day,-1.12,-9.85,-18.82,0.42,1030.3,3.82,5.14,257,0,0,10,354.1,Montana
success,47.5053,111.3008,1578916800,Clear,clear-night,-14.19,-24.89,-29.01,0.46,1032.4,3.82,5.54,226,0,0,10,366,Montana
success,47.5053,111.3008,1578934800,Clear,clear-night,-16,-29.27,-36.04,0.34,1031.9,4.98,10.73,240,0.06,0,10,366.9,Montana
success,47.5053,111.3008,1580544000,Mostly Cloudy,partly-cloudy-day,-0.39,-0.39,-22.88,0.33,1034.4,2.34,2.65,227,0.8,0,10,482.1,Montana
success,47.5053,111.3008,1580558400,Mostly Cloudy,partly-cloudy-night,-9.14,-9.14,-33.06,0.29,1037.4,2.21,2.49,238,0.77,0,10,484.9,Montana
success,47.5053,111.3008,1580576400,Overcast,cloudy,-13.68,-23.86,-42.4,0.21,1037.7,3.62,4.19,254,0.96,0,10,487.4,Montana
success,47.5053,111.3008,1580630400,Clear,clear-day,-1.88,-14.24,-25.6,0.3,1032.2,6.09,7.95,246,0,0,10,472.8,Montana
success,47.5053,111.3008,1580644800,Clear,clear-night,-12.11,-22.89,-36.28,0.28,1034.5,4.01,4.97,231,0,0,10,482.7,Montana
success,47.5053,111.3008,1580662800,Clear,clear-night,-19.48,-30.31,-52.18,0.16,1033.9,3.53,4.67,244,0,0,10,467.4,Montana
success,47.5053,111.3008,1580716800,Clear,clear-day,-1.4,-15.8,-26.74,0.28,1029.8,7.98,10.54,21,0,0,10,470,Montana
success,47.5053,111.3008,1580731200,Clear,clear-night,-11.14,-25.35,-37.1,0.25,1035.6,6.15,6.29,300,0,0,10,464.7,Montana
success,47.5053,111.3008,1580749200,Clear,clear-night,-17.1,-27.96,-51.37,0.15,1039.7,3.69,4.12,222,0,0,10,449.7,Montana
success,47.5053,111.3008,1580803200,Clear,clear-day,-5.4,-5.4,-34.93,0.22,1039.2,1.93,2.04,236,0,0,10,427.8,Montana
success,47.5053,111.3008,1580817600,Clear,clear-night,-17.11,-17.11,-44.42,0.22,1042.5,1.28,1.83,122,0.03,0,10,409.3,Montana
success,47.5053,111.3008,1580835600,Mostly Cloudy,partly-cloudy-night,-20.09,-20.09,-53.82,0.15,1043.5,1.25,1.5,160,0.61,0,10,395.5,Montana
success,47.5053,111.3008,1580889600,Clear,clear-day,2.66,2.66,-21.03,0.31,1033.1,2.34,2.34,190,0.09,0,10,378.7,Montana
success,47.5053,111.3008,1580904000,Clear,clear-night,-8.25,-8.25,-29.69,0.33,1035,2.78,3.56,222,0.15,0,10,360,Montana
success,47.5053,111.3008,1580922000,Clear,clear-night,-11.71,-24.29,-38.53,0.24,1034.8,5.01,6.67,241,0.24,0,10,357.3,Montana
