message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,55.755825,37.617298,1604235600,Overcast,cloudy,41.87,35.41,35.17,0.77,1022.7,11.39,21.82,54,1,0,10,298.6,Moscow
sucess,55.755825,37.617298,1604322000,Overcast,cloudy,44.36,40.58,39.62,0.83,1022,6.65,15.86,85,0.99,0,10,299.4,Moscow
success,55.755825,37.617298,1604408400,Mostly Cloudy,partly-cloudy-day,47.43,44.81,41.13,0.79,1025.2,5.64,13.82,186,0.77,0,10,288,Moscow
success,55.755825,37.617298,1604494800,Overcast,cloudy,47.69,44.34,40.04,0.75,1028,7.13,15.69,230,0.88,0,10,287,Moscow
success,55.755825,37.617298,1604581200,Mostly Cloudy,partly-cloudy-day,45.38,39.59,35.49,0.68,1018.5,12.05,21.33,264,0.78,0,10,313.2,Moscow
success,55.755825,37.617298,1604667600,Overcast,cloudy,45.09,38.53,32.78,0.62,1007.6,14.39,29.01,315,0.91,0,10,310.3,Moscow
success,55.755825,37.617298,1604754000,Clear,clear-day,47.47,42.49,32.89,0.57,1017.3,11.21,25.34,309,0.3,0,10,252.1,Moscow
success,55.755825,37.617298,1604840400,Possible Light Rain,rain,48.26,42.91,41.14,0.76,1010.8,13.11,24.96,308,1,0,10,264.1,Moscow
success,55.755825,37.617298,1604926800,Partly Cloudy,partly-cloudy-day,35.96,27.94,24.14,0.62,1023.5,11.57,23.87,277,0.32,0,10,306.8,Moscow
success,55.755825,37.617298,1605013200,Mostly Cloudy,partly-cloudy-day,36.76,28.52,23.68,0.59,1025.8,12.63,21.23,315,0.83,0,10,329.3,Moscow
success,55.755825,37.617298,1605099600,Overcast,cloudy,34.09,27.31,21.54,0.6,1030.4,8.13,14.55,316,0.96,0,10,295.4,Moscow
success,55.755825,37.617298,1605186000,Clear,clear-day,35.09,29.46,25.87,0.69,1031.2,6.65,13.4,283,0.22,0,10,296.7,Moscow
success,55.755825,37.617298,1605272400,Overcast,cloudy,38.37,35.66,31.71,0.77,1031,3.77,7.25,280,1,0,10,283.3,Moscow
success,55.755825,37.617298,1605358800,Overcast,cloudy,36.75,33.49,29.79,0.76,1028.1,4.08,9.22,117,0.97,0,10,278.2,Moscow
success,55.755825,37.617298,1605445200,Foggy,fog,33.35,26.51,26.4,0.75,1030.6,7.95,16.03,109,0.95,0,1.409,292.8,Moscow
success,55.755825,37.617298,1605531600,Mostly Cloudy,partly-cloudy-day,29.12,20.98,14.62,0.54,1035.7,8.57,15.33,149,0.64,0,10,282.4,Moscow
success,55.755825,37.617298,1605618000,Clear,clear-day,24.03,13.61,4.88,0.43,1039.1,10.4,19.61,162,0,0,10,280.9,Moscow
success,55.755825,37.617298,1605704400,Overcast,cloudy,26.51,15.41,11.81,0.53,1033.9,13,29.3,191,0.92,0,10,252,Moscow
success,55.755825,37.617298,1605790800,Overcast,cloudy,32.87,22.1,28.07,0.82,1022.1,16.75,36.47,206,1,0,10,237.2,Moscow
success,55.755825,37.617298,1605877200,Snow,snow,31.28,21.4,26.75,0.83,1018.1,13.1,26,209,1,0,0.027,249.4,Moscow
