message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,45,50,1577865600,Clear,clear-day,39.89,32.46,34.17,0.8,1012.2,12.67,14.13,240,0.13,1,10,304.2,Newfoundland
success,45,50,1577880000,Clear,clear-day,39.24,33.26,32.14,0.75,1012.6,8.79,10.55,249,0.08,0,10,301.3,Newfoundland
success,45,50,1577898000,Clear,clear-night,38.67,32.21,28.32,0.66,1014.6,9.52,11.07,228,0.01,0,10,312.4,Newfoundland
success,45,50,1577952000,Overcast,cloudy,36.65,28.36,31.83,0.82,1021.3,12.7,16.35,294,0.96,1,5.248,351.6,Newfoundland
success,45,50,1577966400,Overcast,cloudy,36.71,29.23,30,0.76,1021.7,10.72,12.1,292,1,0,10,350.9,Newfoundland
success,45,50,1577984400,Overcast,cloudy,35.91,27.27,23.13,0.59,1024,13.09,16.35,295,1,0,10,388.8,Newfoundland
success,45,50,1578038400,Clear,clear-day,33.2,28.77,16.99,0.51,1028.2,4.69,5.77,314,0,1,10,415.3,Newfoundland
success,45,50,1578052800,Clear,clear-day,34.32,34.32,18.03,0.51,1027.9,1.35,2.05,230,0.02,0,10,408.7,Newfoundland
success,45,50,1578070800,Clear,clear-night,33.27,29.27,14.3,0.45,1028.5,4.26,4.69,171,0,0,10,414.8,Newfoundland
success,45,50,1578124800,Clear,clear-day,35.85,27.58,25.99,0.67,1024,12.1,13.49,151,0.01,1,10,409,Newfoundland
success,45,50,1578139200,Clear,clear-day,36.79,29.38,21.46,0.53,1021.8,10.64,12.76,116,0.01,0,10,415.3,Newfoundland
success,45,50,1578157200,Clear,clear-night,34.38,25.84,17.81,0.5,1020.5,11.84,14.84,113,0,0,10,414.3,Newfoundland
success,45,50,1578211200,Overcast,cloudy,32.22,22.94,17.68,0.55,1018.8,12.25,12.79,121,0.99,1,10,416.7,Newfoundland
success,45,50,1578225600,Overcast,cloudy,33.73,25.64,19.02,0.54,1018.9,10.46,10.46,107,1,0,10,416.3,Newfoundland
success,45,50,1578243600,Overcast,cloudy,33.63,25.19,17.92,0.52,1020.4,11.19,11.69,111,1,0,10,426.9,Newfoundland
success,45,50,1578297600,Partly Cloudy,partly-cloudy-day,34.22,26.62,24.22,0.66,1024.6,9.72,9.72,103,0.47,1,10,382.6,Newfoundland
success,45,50,1578312000,Partly Cloudy,partly-cloudy-day,34.94,26.97,23.24,0.62,1024.9,10.84,10.96,96,0.37,0,10,390.3,Newfoundland
success,45,50,1578330000,Clear,clear-night,33.85,24.81,19.18,0.55,1025.9,12.73,13.55,105,0,0,10,394.4,Newfoundland
success,45,50,1578384000,Mostly Cloudy,partly-cloudy-day,34.57,25.05,24.31,0.66,1026,14.53,18.62,116,0.83,1,10,387.9,Newfoundland
success,45,50,1578398400,Mostly Cloudy,partly-cloudy-day,35.86,26.42,24.65,0.63,1025,15.34,21.48,99,0.85,0,10,387.6,Newfoundland
success,45,50,1578416400,Overcast,cloudy,34.53,23.34,18.83,0.52,1024.3,19.88,25.82,102,0.88,0,10,376.2,Newfoundland
success,45,50,1578470400,Overcast,cloudy,33.52,22.52,22.73,0.64,1022.1,18.09,22.48,102,0.99,1,10,382,Newfoundland
success,45,50,1578484800,Overcast,cloudy,35.69,25.73,24.3,0.63,1021.1,16.83,22.83,89,0.98,0,10,382.2,Newfoundland
success,45,50,1578502800,Overcast,cloudy,34.91,24.27,20.12,0.54,1021.5,18.32,23.25,93,1,0,10,400.5,Newfoundland
success,45,50,1578556800,Overcast,cloudy,32.97,23.04,23.93,0.69,1020.8,14.44,18.16,81,0.93,1,10,393.7,Newfoundland
success,45,50,1578571200,Mostly Cloudy,partly-cloudy-day,33.99,24.35,25.03,0.69,1020.2,14.41,15.46,62,0.8,0,10,379.6,Newfoundland
success,45,50,1578589200,Mostly Cloudy,partly-cloudy-night,33.13,24.05,21.23,0.61,1020.5,12.37,14.13,73,0.82,0,10,374.6,Newfoundland
success,45,50,1578643200,Overcast,cloudy,32.33,23.62,25.33,0.75,1020.4,11.04,12.46,336,1,1,7.234,359.8,Newfoundland
success,45,50,1578657600,Overcast,cloudy,31.96,22.44,22.88,0.69,1020.9,12.67,15.46,329,0.99,0,10,361.7,Newfoundland
success,45,50,1578675600,Overcast,cloudy,30.1,21.52,16.75,0.57,1022.4,9.72,12.52,325,1,0,10,349.5,Newfoundland
success,45,50,1578729600,Overcast,cloudy,32.58,23.34,23.6,0.69,1022.6,12.4,13.67,315,0.99,1,3.643,378.7,Newfoundland
success,45,50,1578744000,Overcast,cloudy,32.18,23.85,22.71,0.68,1022.9,10.18,13,318,0.97,0,9.537,377.7,Newfoundland
success,45,50,1578762000,Overcast,cloudy,30.82,23.92,16.69,0.55,1023.7,7.23,8.13,319,1,0,10,368.4,Newfoundland
success,45,50,1578816000,Possible Light Rain,rain,37.36,27.34,32.13,0.81,1015.9,18.79,24.03,168,1,1,9.961,365,Newfoundland
success,45,50,1578830400,Possible Light Rain,rain,39.85,31.8,34.83,0.82,1014.2,14.5,23.71,204,1,0,10,383.5,Newfoundland
success,45,50,1578848400,Possible Drizzle,rain,37.8,30.44,30.18,0.74,1015.4,11.07,14.31,272,1,0,10,401.3,Newfoundland
success,45,50,1578902400,Mostly Cloudy,partly-cloudy-day,35.79,26.14,29.33,0.77,1022.6,15.91,20.42,282,0.72,1,10,366.3,Newfoundland
success,45,50,1578916800,Mostly Cloudy,partly-cloudy-day,34.38,23.25,26.57,0.73,1022.7,19.48,24.2,276,0.81,0,10,341.2,Newfoundland
success,45,50,1578934800,Overcast,cloudy,34.99,24.34,22.28,0.59,1023.7,18.46,23.18,271,1,0,10,330.3,Newfoundland
success,45,50,1580544000,Overcast,cloudy,35.77,27.19,31.51,0.84,1011.8,12.85,15.68,324,1,1,10,381.2,Newfoundland
