message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,9.081999,8.675277,1577865600,Clear,clear-day,76.01,76.01,38.84,0.26,1013.1,3.38,3.68,67,0,3,10,242.2,Nigeria
success,9.081999,8.675277,1577880000,Clear,clear-day,91.22,91.22,37.73,0.15,1011.1,4.47,4.69,195,0,10,10,241,Nigeria
success,9.081999,8.675277,1577898000,Clear,clear-day,84.67,84.67,41.6,0.22,1009.2,4.2,6.1,122,0.29,0,10,237.7,Nigeria
success,9.081999,8.675277,1577952000,Clear,clear-day,70.23,70.23,34.11,0.26,1015.4,4.12,4.84,76,0.25,3,10,243.6,Nigeria
success,9.081999,8.675277,1577966400,Clear,clear-day,86.92,86.92,36.32,0.17,1012.2,4.84,5.21,172,0.23,9,10,242.4,Nigeria
success,9.081999,8.675277,1577984400,Clear,clear-day,79.09,79.09,39.11,0.24,1011.3,3.81,6.01,109,0,0,10,238.9,Nigeria
success,9.081999,8.675277,1578038400,Clear,clear-day,67.86,67.86,36.62,0.32,1016.4,3.65,4.19,93,0.01,3,10,243.5,Nigeria
success,9.081999,8.675277,1578052800,Clear,clear-day,86.15,86.15,37.94,0.18,1013.2,4.06,4.6,164,0,10,10,240.9,Nigeria
success,9.081999,8.675277,1578070800,Mostly Cloudy,partly-cloudy-day,78.62,78.62,43.64,0.29,1011.3,4.15,6.48,73,0.86,0,10,242.2,Nigeria
success,9.081999,8.675277,1578124800,Clear,clear-day,68.66,68.66,41.22,0.37,1015.7,3.62,4.56,91,0.01,3,10,247,Nigeria
success,9.081999,8.675277,1578139200,Clear,clear-day,86.34,86.34,44.2,0.23,1012.6,5.08,5.7,158,0.02,10,10,244,Nigeria
success,9.081999,8.675277,1578157200,Mostly Cloudy,partly-cloudy-day,79.88,79.88,45.85,0.3,1010,4.13,6.9,78,0.65,0,10,243,Nigeria
success,9.081999,8.675277,1578211200,Clear,clear-day,72.18,72.18,45.98,0.39,1014.6,4.39,6.54,101,0.01,3,10,248.4,Nigeria
success,9.081999,8.675277,1578225600,Clear,clear-day,88.83,88.83,44.79,0.22,1009.9,9.48,9.96,138,0.07,10,10,246.6,Nigeria
success,9.081999,8.675277,1578243600,Mostly Cloudy,partly-cloudy-day,81.43,81.43,47.93,0.31,1009.1,3.88,5.12,102,0.64,0,10,246,Nigeria
success,9.081999,8.675277,1578297600,Mostly Cloudy,partly-cloudy-day,75.09,75.09,50.24,0.42,1013.3,3.26,4.15,116,0.78,2,10,254.7,Nigeria
