message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,-9.189967,-75.015152,1577865600,Possible Light Rain and Humid,rain,74.04,75.68,73.04,0.97,1007.1,2.17,2.17,54,0.94,0,8.241,247.3,Peru
success,-9.189967,-75.015152,1577880000,Humid and Overcast,cloudy,75.76,77.76,75.76,1,1009,2.06,3.67,60,1,1,10,249.7,Peru
success,-9.189967,-75.015152,1577898000,Possible Light Rain and Humid,rain,83.57,92.98,76.92,0.8,1008.7,4,10.1,12,1,6,2.451,247.3,Peru
success,-9.189967,-75.015152,1577952000,Rain,rain,70.67,72.16,70.67,1,1008.3,0.75,1.55,133,0.98,0,10,242.3,Peru
success,-9.189967,-75.015152,1577966400,Possible Light Rain,rain,71.35,73.13,71.35,1,1010.8,1.22,1.37,138,1,1,10,243.5,Peru
success,-9.189967,-75.015152,1577984400,Possible Drizzle and Humid,rain,78.29,81.17,74.77,0.89,1010.5,1.8,1.99,90,0.96,6,10,242.4,Peru
success,-9.189967,-75.015152,1578038400,Possible Light Rain,rain,71.62,73.16,71.48,1,1011.4,1.03,1.04,148,0.91,0,10,247.2,Peru
success,-9.189967,-75.015152,1578052800,Humid and Mostly Cloudy,partly-cloudy-day,72.39,74.27,72.39,1,1014.2,1.17,1.2,181,0.72,1,10,248.8,Peru
success,-9.189967,-75.015152,1578070800,Possible Light Rain and Humid,rain,84.35,91.93,74.34,0.72,1012.5,2,4.46,7,0.55,10,10,249.7,Peru
success,-9.189967,-75.015152,1578124800,Rain and Humid,rain,72.5,74.15,72.49,1,1011.7,2.37,5.02,300,0.88,0,8.199,245.3,Peru
success,-9.189967,-75.015152,1578139200,Rain and Humid,rain,72.36,74.22,72.36,1,1013.8,1.8,5.27,10,0.84,1,10,247,Peru
success,-9.189967,-75.015152,1578157200,Humid and Overcast,cloudy,84.68,94.36,76.38,0.76,1010.3,3.46,7.71,7,0.9,7,8.311,248.1,Peru
success,-9.189967,-75.015152,1578211200,Overcast,cloudy,74.81,76.25,71.9,0.91,1008.6,1.23,1.52,60,0.95,0,10,249.3,Peru
success,-9.189967,-75.015152,1578225600,Humid and Overcast,cloudy,75.99,77.77,74.52,0.95,1010.8,0.91,1.58,338,0.95,1,10,251.7,Peru
success,-9.189967,-75.015152,1578243600,Possible Light Rain and Humid,rain,81.68,91.1,78.52,0.9,1008.7,3.47,12.51,357,0.63,9,2.867,251.6,Peru
success,-9.189967,-75.015152,1578297600,Humid and Partly Cloudy,partly-cloudy-night,73.61,75.14,72.13,0.95,1006.8,1.06,2.01,99,0.57,0,10,248.5,Peru
success,-9.189967,-75.015152,1578312000,Humid and Mostly Cloudy,partly-cloudy-day,74.45,76.14,73.41,0.97,1009.2,2.02,2.99,17,0.64,1,10,248.6,Peru
success,-9.189967,-75.015152,1578330000,Humid and Overcast,cloudy,83.48,89.58,72.97,0.71,1008.1,3.27,9.18,341,0.92,7,10,247.7,Peru
success,-9.189967,-75.015152,1578384000,Overcast,cloudy,75.13,76.53,71.74,0.89,1006.9,2.74,2.74,244,0.98,0,10,246.3,Peru
success,-9.189967,-75.015152,1578398400,Possible Light Rain and Humid,rain,73.26,74.99,73.26,1,1010.3,1.92,1.95,199,0.99,1,10,248.1,Peru
success,-9.189967,-75.015152,1578416400,Humid and Overcast,cloudy,80.8,87.51,76.52,0.87,1009.4,3.23,7.36,5,0.93,7,9.92,246.6,Peru
success,-9.189967,-75.015152,1578470400,Humid and Overcast,cloudy,73.28,74.84,72.21,0.96,1009.5,1.64,2.06,210,0.96,0,10,250.9,Peru
success,-9.189967,-75.015152,1578484800,Humid and Overcast,cloudy,74.11,75.91,74,1,1011.9,1.96,6.1,207,0.9,1,10,251.1,Peru
success,-9.189967,-75.015152,1578502800,Humid and Mostly Cloudy,partly-cloudy-day,88.42,96.15,72.86,0.6,1009.9,4.2,9.85,346,0.74,8,7.825,246.9,Peru
success,-9.189967,-75.015152,1578556800,Mostly Cloudy,partly-cloudy-night,73.77,75.23,71.72,0.93,1009.6,2.1,2.14,231,0.69,0,10,248.8,Peru
success,-9.189967,-75.015152,1578571200,Humid and Mostly Cloudy,partly-cloudy-day,75.42,77.05,73.38,0.93,1012.7,1.98,2.85,255,0.74,1,10,249.1,Peru
success,-9.189967,-75.015152,1578589200,Mostly Cloudy,partly-cloudy-day,90.81,97.25,70.88,0.52,1009.9,4.37,11.32,355,0.66,9,10,248.6,Peru
success,-9.189967,-75.015152,1578643200,Mostly Cloudy,partly-cloudy-night,75.43,76.77,71.32,0.87,1009.3,1.69,3.12,70,0.63,0,10,249.8,Peru
success,-9.189967,-75.015152,1578657600,Humid and Mostly Cloudy,partly-cloudy-day,76.1,77.75,73.69,0.92,1011.6,1.18,2.62,34,0.71,1,10,250.6,Peru
success,-9.189967,-75.015152,1578675600,Humid and Mostly Cloudy,partly-cloudy-day,89.66,97.23,72.36,0.57,1010.9,2.46,3.29,31,0.63,9,10,249.9,Peru
success,-9.189967,-75.015152,1578729600,Partly Cloudy,partly-cloudy-night,74.84,76.13,70.84,0.87,1009.3,2.42,3.75,24,0.41,0,10,249.8,Peru
success,-9.189967,-75.015152,1578744000,Humid,clear-day,74.79,76.33,72.57,0.93,1011.7,2.15,2.15,66,0.31,1,10,249.7,Peru
success,-9.189967,-75.015152,1578762000,Clear,clear-day,87.13,93.5,71.76,0.6,1011.7,3.88,5.08,356,0.19,13,10,246.2,Peru
success,-9.189967,-75.015152,1578816000,Clear,clear-night,74.92,76.06,69.78,0.84,1011.2,2.66,3.43,37,0.2,0,10,249.3,Peru
success,-9.189967,-75.015152,1578830400,Partly Cloudy,partly-cloudy-day,74.81,76.22,71.68,0.9,1012.7,1.87,1.87,90,0.59,1,10,248,Peru
success,-9.189967,-75.015152,1578848400,Clear,clear-day,91.06,98.08,71.43,0.53,1012.4,3.15,4.44,27,0,14,10,247.8,Peru
success,-9.189967,-75.015152,1578902400,Partly Cloudy,partly-cloudy-night,74,75.19,69.83,0.87,1010,2.5,3.61,22,0.56,0,10,249.7,Peru
success,-9.189967,-75.015152,1578916800,Partly Cloudy,partly-cloudy-day,72.69,73.96,70.11,0.92,1012.6,1.95,3.85,3,0.56,1,10,245.6,Peru
success,-9.189967,-75.015152,1578934800,Mostly Cloudy,partly-cloudy-day,87.62,93.36,70.87,0.58,1011.8,4.86,5.04,20,0.79,8,10,249.2,Peru
success,-9.189967,-75.015152,1580544000,Overcast,cloudy,71.88,73.4,71.45,0.99,1010.8,1.89,5.67,149,0.98,0,10,250.5,Peru
success,-9.189967,-75.015152,1580558400,Possible Light Rain and Humid,rain,72.55,74.28,72.55,1,1013.3,2.23,10.61,260,1,0,7.911,249.1,Peru
success,-9.189967,-75.015152,1580576400,Possible Light Rain and Humid,rain,84.61,92.68,74.74,0.72,1012.3,2.99,3.82,15,1,6,6.894,251.6,Peru
success,-9.189967,-75.015152,1580630400,Humid and Overcast,cloudy,74.21,75.74,72.34,0.94,1012.1,1.97,3.02,34,0.98,0,10,252.2,Peru
success,-9.189967,-75.015152,1580644800,Humid and Overcast,cloudy,74.01,75.7,73.33,0.98,1013.2,1.35,2.07,102,1,0,10,249.3,Peru
success,-9.189967,-75.015152,1580662800,Humid and Mostly Cloudy,partly-cloudy-day,90.36,99.12,73.33,0.58,1012.6,2.26,4.59,41,0.81,8,10,252.6,Peru
success,-9.189967,-75.015152,1580716800,Humid and Overcast,cloudy,76.41,78,73.35,0.9,1010.9,2.15,2.39,3,0.98,0,10,255.5,Peru
success,-9.189967,-75.015152,1580731200,Humid and Overcast,cloudy,76.38,78.29,75.58,0.97,1013.4,3.72,3.72,3,1,0,10,254.1,Peru
success,-9.189967,-75.015152,1580749200,Rain and Humid,rain,80.1,87.41,77.8,0.93,1012.8,1.89,2.74,117,1,6,6.151,255.5,Peru
success,-9.189967,-75.015152,1580803200,Humid and Overcast,cloudy,72.99,74.65,72.7,0.99,1011.1,1.87,2.02,206,0.97,0,10,254,Peru
success,-9.189967,-75.015152,1580817600,Humid and Overcast,cloudy,73.3,75.16,73.3,1,1012.5,1.63,2.19,188,1,0,10,251.6,Peru
success,-9.189967,-75.015152,1580835600,Possible Light Rain and Humid,rain,83.92,93.53,76.85,0.79,1011.2,2.36,4.06,330,0.87,7,10,251.6,Peru
success,-9.189967,-75.015152,1580889600,Rain and Humid,rain,72.96,74.61,72.71,0.99,1009.7,1.04,1.38,229,1,0,10,249.3,Peru
success,-9.189967,-75.015152,1580904000,Humid and Overcast,cloudy,73.19,75.05,73.19,1,1011.2,1.02,1.44,88,1,0,10,249.7,Peru
success,-9.189967,-75.015152,1580922000,Humid and Overcast,cloudy,88.46,98.41,74.95,0.64,1008.4,4.16,7.24,26,0.96,6,6.64,253.5,Peru
success,-9.189967,-75.015152,1580976000,Possible Light Rain and Humid,rain,74.98,76.65,73.5,0.95,1008.4,3.04,4.06,33,1,0,2.079,251.6,Peru
success,-9.189967,-75.015152,1580990400,Possible Light Rain and Humid,rain,75.92,77.89,75.72,0.99,1010.6,3.46,12.23,29,1,0,10,252.6,Peru
success,-9.189967,-75.015152,1581008400,Humid and Overcast,cloudy,85.85,95.48,75.69,0.72,1010.5,4.08,7.66,62,1,6,10,253,Peru
success,-9.189967,-75.015152,1581062400,Possible Light Rain and Humid,rain,73.05,74.75,72.99,1,1010.1,1.13,2.13,49,1,0,10,254.4,Peru
success,-9.189967,-75.015152,1581076800,Possible Light Rain and Humid,rain,72.96,74.87,72.96,1,1012.5,2.21,2.21,218,0.89,0,10,256.7,Peru
success,-9.189967,-75.015152,1581094800,Rain and Humid,rain,78.34,81.54,77.03,0.96,1012,1.84,4.91,4,0.66,9,10,257.3,Peru
success,-9.189967,-75.015152,1581148800,Overcast,cloudy,71.92,73.3,70.57,0.96,1010.1,1.77,1.77,29,0.97,0,10,260.2,Peru
success,-9.189967,-75.015152,1581163200,Mostly Cloudy,partly-cloudy-day,72.18,73.75,71.88,0.99,1011.4,1.36,4.99,17,0.84,0,10,261.5,Peru
success,-9.189967,-75.015152,1581181200,Possible Drizzle,rain,85.52,91.63,71.99,0.64,1010.1,5.26,9.66,13,0.98,6,10,258.5,Peru
success,-9.189967,-75.015152,1581235200,Rain,rain,71.49,73,71.24,0.99,1009.9,1.2,1.88,213,0.95,0,10,254.3,Peru
success,-9.189967,-75.015152,1581249600,Humid and Overcast,cloudy,72.71,74.36,72.58,1,1011.9,1.24,2.57,223,1,0,10,254.7,Peru
success,-9.189967,-75.015152,1581267600,Rain and Humid,rain,78.61,82.66,78.61,1,1010.9,2.6,8.81,345,0.65,9,10,253,Peru
success,-9.189967,-75.015152,1581321600,Possible Light Rain,rain,71.23,72.74,71.19,1,1010.8,1.72,1.74,212,0.82,0,8.787,259.2,Peru
success,-9.189967,-75.015152,1581336000,Possible Light Rain,rain,72,73.76,72,1,1012.3,1.08,1.09,147,0.73,0,5.252,257.3,Peru
success,-9.189967,-75.015152,1581354000,Rain and Humid,rain,79.49,85,78.4,0.96,1012.1,4.24,6.55,41,0.9,7,7.33,256.8,Peru
success,-9.189967,-75.015152,1581408000,Possible Light Rain,rain,71.44,73,71.44,1,1011.6,1.77,2.32,212,1,0,8.57,255.8,Peru
success,-9.189967,-75.015152,1581422400,Overcast,cloudy,71.94,73.7,71.94,1,1013.3,1.36,3.02,184,1,0,10,255.1,Peru
