message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,51.919438,19.145136,1577865600,Mostly Cloudy,partly-cloudy-day,34.34,25.92,32.85,0.94,1030.9,11.54,16.36,253,0.85,0,10,311.9,Poland
success,51.919438,19.145136,1577880000,Overcast,cloudy,36.4,27.77,30.89,0.8,1031,13.41,18.41,275,1,0,10,307.3,Poland
success,51.919438,19.145136,1577898000,Overcast,cloudy,34,24.93,27.8,0.78,1031.1,12.9,21.26,306,1,0,10,310.7,Poland
success,51.919438,19.145136,1577952000,Mostly Cloudy,partly-cloudy-day,30.28,21.01,19.91,0.65,1028.1,11.15,23.86,254,0.84,0,10,318,Poland
success,51.919438,19.145136,1577966400,Overcast,cloudy,36.98,30.29,21.54,0.53,1027.3,9.17,17.49,253,0.99,0,10,331,Poland
success,51.919438,19.145136,1577984400,Partly Cloudy,partly-cloudy-night,32.68,25.87,15.23,0.48,1025.5,7.68,9.39,219,0.49,0,10,344.7,Poland
success,51.919438,19.145136,1578038400,Clear,clear-day,30.5,21.16,19.31,0.63,1021.9,11.43,22.16,224,0.01,0,10,331.4,Poland
success,51.919438,19.145136,1578052800,Clear,clear-day,38.59,30.35,27.71,0.65,1019.4,14.02,25.91,221,0,0,10,352.9,Poland
success,51.919438,19.145136,1578070800,Clear,clear-night,37.02,28.23,29.41,0.74,1017.1,14.36,30.62,228,0.27,0,10,322.2,Poland
success,51.919438,19.145136,1578124800,Mostly Cloudy,partly-cloudy-day,37.32,27.41,35.94,0.95,1016.6,18.33,31.89,181,0.73,0,10,337.8,Poland
success,51.919438,19.145136,1578139200,Possible Drizzle,rain,36.89,26.24,34.34,0.9,1013.8,20.65,29.6,260,0.84,0,10,344.3,Poland
success,51.919438,19.145136,1578157200,Possible Light Rain,rain,37.55,26.94,30.67,0.76,1010.9,21.34,35.34,33,0.99,0,10,371.5,Poland
success,51.919438,19.145136,1578211200,Clear,clear-day,32.59,22.34,27.91,0.83,1027.9,15.03,26.36,319,0.27,0,10,319.9,Poland
success,51.919438,19.145136,1578225600,Clear,clear-day,34.39,25.24,26.36,0.72,1030.3,13.39,20.58,328,0.28,0,10,331,Poland
success,51.919438,19.145136,1578243600,Clear,clear-night,29.17,23.47,21.18,0.72,1033.5,5.3,8.01,254,0.02,0,10,309.3,Poland
success,51.919438,19.145136,1578297600,Overcast,cloudy,31.14,21.3,27.66,0.87,1030.1,12.93,23.54,227,0.99,0,10,313,Poland
success,51.919438,19.145136,1578312000,Overcast,cloudy,33.86,26.1,31.56,0.91,1028,9.85,19.61,234,0.99,0,10,327.4,Poland
success,51.919438,19.145136,1578330000,Overcast,cloudy,34.36,27.81,29.44,0.82,1026.9,7.84,16.6,225,0.93,0,10,332.8,Poland
success,51.919438,19.145136,1578384000,Partly Cloudy,partly-cloudy-day,27.94,21.02,22.81,0.81,1024.2,6.46,9.74,190,0.35,0,10,333.4,Poland
success,51.919438,19.145136,1578398400,Partly Cloudy,partly-cloudy-day,33.81,29.08,27.6,0.78,1025.2,5.14,8.39,229,0.46,0,10,359.2,Poland
