message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,46.879967,-121.726906,1604235600,Clear,clear-night,39.73,35.22,16.64,0.39,1023.1,6.32,7.36,108,0.04,0,10,255.1,Rainier
success,46.879967,-121.726906,1604322000,Clear,clear-night,43.27,40.32,15.6,0.32,1020.2,5,13.36,147,0,0,10,253,Rainier
success,46.879967,-121.726906,1604408400,Mostly Cloudy,partly-cloudy-night,39.45,34.29,11.84,0.32,1011.6,7.32,11.46,166,0.87,0,10,261.4,Rainier
success,46.879967,-121.726906,1604494800,Snow,snow,41.14,34.92,41.14,1,1015,10.34,24.29,234,0.9,0,2.813,257.9,Rainier
success,46.879967,-121.726906,1604581200,Snow,snow,34.59,24.77,33.84,0.97,1018.9,15.42,32.21,266,0.94,0,6.942,249.5,Rainier
success,46.879967,-121.726906,1604667600,Snow,snow,29.65,23.1,27.04,0.9,1008.7,6.43,12.78,70,1,0,1.445,336.2,Rainier
success,46.879967,-121.726906,1604754000,Partly Cloudy,partly-cloudy-night,22.79,18.69,14.89,0.71,1007.8,3.13,5.15,298,0.49,0,7.29,300.7,Rainier
success,46.879967,-121.726906,1604840400,Partly Cloudy,partly-cloudy-night,15.07,8.31,8.19,0.74,1011.2,4.15,6.08,54,0.5,0,10,348.1,Rainier
success,46.879967,-121.726906,1604926800,Clear,clear-night,17.99,12.99,9.31,0.68,1022.7,3.28,4.39,57,0.06,0,10,316,Rainier
success,46.879967,-121.726906,1605013200,Snow,snow,22.11,11.28,21.4,0.97,1016.8,10.31,25.36,285,0.85,0,1.641,316.1,Rainier
success,46.879967,-121.726906,1605099600,Mostly Cloudy,partly-cloudy-night,17.62,17.62,13.57,0.84,1020.4,2.97,4.35,320,0.82,0,3.451,316.4,Rainier
success,46.879967,-121.726906,1605186000,Mostly Cloudy,partly-cloudy-night,18.45,13.96,13.13,0.79,1017.8,3.02,3.71,201,0.82,0,10,293.2,Rainier
success,46.879967,-121.726906,1605272400,Heavy Snow,snow,25.38,14.38,24.15,0.95,992.8,12.16,28.51,196,0.98,0,1.57,316.3,Rainier
success,46.879967,-121.726906,1605358800,Snow,snow,21.71,10.28,19.74,0.92,1017.1,11.17,30,269,0.91,0,0.808,317.2,Rainier
success,46.879967,-121.726906,1605445200,Snow,snow,26.56,16.75,26.56,1,1011.5,10.42,27.86,247,0.93,0,0.26,284,Rainier
success,46.879967,-121.726906,1605531600,Overcast,cloudy,27.21,23.19,25.82,0.94,1019.5,3.49,5.84,91,1,0,9.206,282.5,Rainier
success,46.879967,-121.726906,1605618000,Overcast,cloudy,38.14,31.26,27.71,0.66,996.2,10.18,13.73,110,0.97,0,10,276.5,Rainier
success,46.879967,-121.726906,1605704400,Snow,snow,24.75,17.68,23.76,0.96,1002.8,5.9,10.44,100,0.79,0,5.125,306.1,Rainier
success,46.879967,-121.726906,1605790800,Heavy Snow,snow,21.77,14.16,21.77,1,1017.6,5.88,11.64,218,0.96,0,0.265,322.1,Rainier
success,46.879967,-121.726906,1605877200,Mostly Cloudy,partly-cloudy-night,20.86,14.4,20.73,0.99,1031.7,4.64,8.83,205,0.62,0,9.421,272,Rainier
success,46.879967,-121.726906,1606827600,Clear,clear-night,21.49,13.55,9.16,0.58,1034.1,6.17,8.29,15,0.22,0,9.135,289.5,Rainier
success,46.879967,-121.726906,1606914000,Clear,clear-night,34.42,25.82,6.08,0.3,1026.2,12,18.71,93,0.01,0,10,271.3,Rainier
