message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,61.52401,105.318756,1577865600,Clear,clear-night,-9.49,-23.74,-25.56,0.44,1024.5,6.41,17.83,238,0,0,10,291.1,Russia
success,61.52401,105.318756,1577880000,Clear,clear-night,-11.85,-27.23,-32.1,0.35,1025.8,6.91,20.72,226,0.14,0,7.232,295.2,Russia
success,61.52401,105.318756,1577898000,Mostly Cloudy,partly-cloudy-night,-7.47,-20.22,-28.54,0.34,1024.6,5.61,15.51,214,0.64,0,10,299.3,Russia
success,61.52401,105.318756,1577952000,Foggy,fog,3.87,-7.77,-4.58,0.67,1016.9,6.42,20.68,183,0.93,0,0.449,307.6,Russia
success,61.52401,105.318756,1577966400,Foggy,fog,6.85,-3.59,-3.25,0.63,1015.3,5.89,19.29,200,1,0,1.022,326.9,Russia
success,61.52401,105.318756,1577984400,Foggy,fog,7.4,-3.19,-2.57,0.63,1013.6,6.11,19,225,1,0,1.09,327.5,Russia
success,61.52401,105.318756,1578038400,Overcast,cloudy,5.47,-2.3,-2.03,0.71,1013.8,3.84,6.71,207,0.96,0,10,332.7,Russia
success,61.52401,105.318756,1578052800,Foggy,fog,8.13,0.34,-1.16,0.65,1011.5,4.1,4.92,159,1,0,0.837,312.9,Russia
success,61.52401,105.318756,1578070800,Foggy,fog,9.86,4.08,0.95,0.67,1006.9,3.1,4.78,132,1,0,0.049,307.8,Russia
success,61.52401,105.318756,1578124800,Overcast,cloudy,12.92,2.93,7.67,0.79,1011.4,6.55,20.92,324,0.99,0,5.918,347.5,Russia
success,61.52401,105.318756,1578139200,Mostly Cloudy,partly-cloudy-night,5.58,-7.2,-5.05,0.61,1014.8,7.86,25.16,270,0.62,0,10,357.7,Russia
success,61.52401,105.318756,1578157200,Partly Cloudy,partly-cloudy-night,0.2,-13.47,-15.12,0.47,1018.5,7.6,21.48,265,0.36,0,10,340.6,Russia
success,61.52401,105.318756,1578211200,Overcast,cloudy,14.51,1.65,7.57,0.73,1015.9,10.61,26.4,240,1,0,5.483,319.3,Russia
success,61.52401,105.318756,1578225600,Overcast,cloudy,12.02,-1.34,2.02,0.64,1017.4,10.43,26.5,243,1,0,2.604,322,Russia
success,61.52401,105.318756,1578243600,Overcast,cloudy,9.17,-4.25,-1.66,0.61,1017.9,9.57,26.19,230,1,0,4.531,323.7,Russia
success,61.52401,105.318756,1578297600,Overcast,cloudy,16.76,5.14,10.59,0.76,1017.9,9.54,27.02,227,1,0,6.121,332.7,Russia
success,61.52401,105.318756,1578312000,Foggy,fog,18.09,6.44,10.29,0.71,1017.6,10.07,28.32,232,1,0,1.275,327.6,Russia
success,61.52401,105.318756,1578330000,Foggy,fog,18.18,6.4,11,0.73,1016.9,10.31,26.72,239,1,0,1.9,316.7,Russia
success,61.52401,105.318756,1578384000,Overcast,cloudy,16.2,5.73,8.67,0.72,1019.1,7.85,21.11,240,0.99,0,4.686,345.7,Russia
success,61.52401,105.318756,1578398400,Foggy,fog,16.21,5.17,6.23,0.64,1019.2,8.57,22.12,242,1,0,0.531,335.9,Russia
success,61.52401,105.318756,1578416400,Foggy,fog,14.26,3.93,2.77,0.6,1018.4,7.2,20.41,246,0.96,0,1.722,326.5,Russia
success,61.52401,105.318756,1578470400,Partly Cloudy,partly-cloudy-night,7.57,-2.32,-1.76,0.65,1022.2,5.54,9.06,268,0.46,0,10,349.2,Russia
success,61.52401,105.318756,1578484800,Partly Cloudy,partly-cloudy-night,5.2,-3.64,-6.49,0.58,1023.7,4.47,6.97,263,0.4,0,10,337.6,Russia
success,61.52401,105.318756,1578502800,Mostly Cloudy,partly-cloudy-night,1.7,-7.31,-10.92,0.55,1024.1,4.23,9.5,247,0.78,0,7.959,319.4,Russia
success,61.52401,105.318756,1578556800,Mostly Cloudy,partly-cloudy-night,3.19,-9.18,-6.26,0.64,1023.9,6.96,21.45,261,0.86,0,2.656,342.4,Russia
