message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,43.0618,141.3545,1577883600,Partly Cloudy,partly-cloudy-night,21.15,11.22,1.28,0.41,1012.6,8.57,18.68,266,0.41,0,7.963,380.1,Sapporo
success,43.0618,141.3545,1577887200,Partly Cloudy,partly-cloudy-night,21.87,10.76,1.17,0.4,1012.9,10.69,23.24,313,0.42,0,7.715,382.7,Sapporo
success,43.0618,141.3545,1577890800,Partly Cloudy,partly-cloudy-night,21.13,9.01,1.09,0.41,1013.1,12.17,26.38,281,0.41,0,7.614,384.5,Sapporo
success,43.0618,141.3545,1577894400,Partly Cloudy,partly-cloudy-night,20.34,8.04,0.08,0.4,1013.1,12.14,26.29,283,0.39,0,7.921,384.4,Sapporo
success,43.0618,141.3545,1577898000,Partly Cloudy,partly-cloudy-night,19.96,7.95,-0.37,0.4,1013.1,11.43,24.76,269,0.36,0,8.375,383.5,Sapporo
success,43.0618,141.3545,1577901600,Partly Cloudy,partly-cloudy-night,19.54,7.66,-0.55,0.41,1013.3,11.03,23.21,272,0.33,0,8.635,385.7,Sapporo
success,43.0618,141.3545,1577905200,Clear,clear-night,19.61,7.68,0.43,0.42,1013.4,11.12,23.4,278,0.31,0,7.671,388.3,Sapporo
success,43.0618,141.3545,1577908800,Clear,clear-night,19.55,7.31,1.93,0.46,1013.5,11.67,24.17,280,0.29,0,6.223,391.9,Sapporo
success,43.0618,141.3545,1577912400,Partly Cloudy,partly-cloudy-night,19.24,6.88,4.5,0.52,1013.8,11.73,25.16,279,0.32,0,5.425,395.5,Sapporo
success,43.0618,141.3545,1577916000,Partly Cloudy,partly-cloudy-night,19.96,7.68,5.52,0.53,1014.4,11.92,26.39,280,0.32,0,5.586,398.7,Sapporo
success,43.0618,141.3545,1577919600,Partly Cloudy,partly-cloudy-day,20.63,7.77,6.41,0.54,1015.1,13.4,27.41,295,0.37,0,6.229,401.9,Sapporo
success,43.0618,141.3545,1577923200,Partly Cloudy,partly-cloudy-day,22.14,9.67,7.65,0.53,1015.5,13.43,29.09,287,0.42,0,6.804,404.7,Sapporo
success,43.0618,141.3545,1577926800,Partly Cloudy,partly-cloudy-day,24.83,13.27,10.23,0.53,1014.4,13.03,29.16,282,0.5,1,6.765,414.5,Sapporo
success,43.0618,141.3545,1577930400,Partly Cloudy,partly-cloudy-day,26.2,14.31,10.48,0.51,1014.1,14.63,30.46,284,0.59,1,7.196,413.8,Sapporo
success,43.0618,141.3545,1577934000,Mostly Cloudy,partly-cloudy-day,25.42,12.8,10.65,0.53,1013.9,15.92,31.06,287,0.65,1,7.468,412.8,Sapporo
success,43.0618,141.3545,1577937600,Mostly Cloudy,partly-cloudy-day,25.74,13.32,10.75,0.53,1014,15.62,30.73,285,0.64,1,7.561,411.5,Sapporo
success,43.0618,141.3545,1577941200,Mostly Cloudy,partly-cloudy-day,25.3,13.21,10.78,0.54,1014.3,14.5,29.7,286,0.6,0,7.489,409.9,Sapporo
success,43.0618,141.3545,1577944800,Mostly Cloudy,partly-cloudy-day,24.74,14.46,11.52,0.57,1014.7,10.47,20.4,298,0.6,0,7.298,405.7,Sapporo
success,43.0618,141.3545,1577948400,Mostly Cloudy,partly-cloudy-day,24.5,14.73,11.51,0.57,1015.1,9.5,18.7,323,0.72,0,6.405,405.1,Sapporo
success,43.0618,141.3545,1577952000,Mostly Cloudy,partly-cloudy-night,24.06,14.6,11.16,0.57,1015.5,8.84,18.44,252,0.86,0,5.252,405.3,Sapporo
success,43.0618,141.3545,1577955600,Overcast,cloudy,23.84,14.55,10.82,0.57,1015.8,8.51,17.69,271,0.95,0,4.794,406.4,Sapporo
success,43.0618,141.3545,1577959200,Overcast,cloudy,23.62,14.76,9.8,0.55,1015.8,7.84,15.5,268,0.94,0,5.74,408.6,Sapporo
success,43.0618,141.3545,1577962800,Overcast,cloudy,22.54,13.74,8.84,0.55,1015.6,7.44,12.84,266,0.88,0,7.383,411.4,Sapporo
success,43.0618,141.3545,1577970000,Mostly Cloudy,partly-cloudy-night,23.8,15.69,8.19,0.51,1014.6,6.91,10.41,234,0.67,0,8.42,416.5,Sapporo
success,43.0618,141.3545,1577973600,Partly Cloudy,partly-cloudy-night,23.75,15.61,7.69,0.5,1014.7,6.93,12.46,253,0.51,0,7.968,416.4,Sapporo
success,43.0618,141.3545,1577977200,Partly Cloudy,partly-cloudy-night,23.57,15.32,6.98,0.49,1014.5,7.02,14.36,260,0.39,0,7.653,417.2,Sapporo
success,43.0618,141.3545,1577980800,Partly Cloudy,partly-cloudy-night,23.08,14.61,6.29,0.48,1014.1,7.17,15.68,252,0.37,0,7.74,419.8,Sapporo
success,43.0618,141.3545,1577984400,Partly Cloudy,partly-cloudy-night,22.83,14.13,6.01,0.48,1013.5,7.4,16.84,270,0.38,0,7.975,423.4,Sapporo
success,43.0618,141.3545,1577988000,Partly Cloudy,partly-cloudy-night,22.56,14.12,6.02,0.48,1013.1,6.99,15.47,266,0.4,0,8.287,426.3,Sapporo
success,43.0618,141.3545,1577991600,Partly Cloudy,partly-cloudy-night,22.33,13.73,6.13,0.49,1012.9,7.15,16.2,265,0.41,0,8.423,429.8,Sapporo
success,43.0618,141.3545,1577995200,Partly Cloudy,partly-cloudy-night,22.24,13.45,6.57,0.5,1012.9,7.36,17.07,265,0.41,0,8.496,433.3,Sapporo
success,43.0618,141.3545,1577998800,Partly Cloudy,partly-cloudy-night,22.63,13.76,8.04,0.53,1012.8,7.57,17.7,269,0.45,0,8.186,435.6,Sapporo
success,43.0618,141.3545,1578002400,Partly Cloudy,partly-cloudy-night,23.46,14.73,9.44,0.54,1012.6,7.6,17.8,248,0.46,0,7.888,435.8,Sapporo
success,43.0618,141.3545,1578006000,Partly Cloudy,partly-cloudy-day,24.94,16.74,11.48,0.56,1012.5,7.33,17.67,289,0.49,0,7.473,435,Sapporo
success,43.0618,141.3545,1578009600,Partly Cloudy,partly-cloudy-day,27.2,21.53,13.15,0.55,1012.1,4.91,12.55,234,0.53,0,8.079,438.2,Sapporo
