message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,-30.559482,22.937506,1577865600,Clear,clear-day,81.85,81.85,51.61,0.35,1010.4,5.83,10.23,305,0,9,10,268.7,South Africa
success,-30.559482,22.937506,1577880000,Clear,clear-day,96.58,96.58,29.31,0.09,1008,17.15,19.78,278,0,12,10,268.8,South Africa
success,-30.559482,22.937506,1577898000,Clear,clear-day,92.02,92.02,20.21,0.07,1006.6,10.53,19.3,341,0,0,10,265.7,South Africa
success,-30.559482,22.937506,1577952000,Clear,clear-day,84.21,84.21,44.31,0.25,1010.1,6.23,16.67,349,0,9,10,265.7,South Africa
success,-30.559482,22.937506,1577966400,Clear,clear-day,98.25,98.25,22.26,0.07,1006.7,17.74,22.92,278,0,12,10,268.5,South Africa
success,-30.559482,22.937506,1577984400,Clear,clear-day,92.51,92.51,7.59,0.04,1006.7,13.09,21.34,270,0,0,10,269.2,South Africa
success,-30.559482,22.937506,1578038400,Clear,clear-day,80.78,80.78,52.16,0.37,1012.7,7.39,11.46,3,0,9,10,269.2,South Africa
success,-30.559482,22.937506,1578052800,Clear,clear-day,96.94,96.94,25.7,0.08,1009.2,18.2,22.19,282,0.03,12,10,269.1,South Africa
success,-30.559482,22.937506,1578070800,Clear,clear-day,91.8,91.8,22.93,0.08,1008.6,10.53,13.79,306,0.08,0,10,268.2,South Africa
success,-30.559482,22.937506,1578124800,Clear,clear-day,85.36,85.36,42.33,0.22,1010.2,10.97,20.84,341,0,9,10,265.1,South Africa
success,-30.559482,22.937506,1578139200,Clear,clear-day,98.53,98.53,28.23,0.08,1006,21.33,28.84,287,0,13,10,266.5,South Africa
success,-30.559482,22.937506,1578157200,Clear,clear-day,92.97,92.97,21.7,0.08,1004.4,12.39,15.37,155,0,0,10,267.5,South Africa
success,-30.559482,22.937506,1578211200,Clear,clear-day,82.55,82.55,25.96,0.13,1008.9,11.37,16.04,304,0,9,10,271.3,South Africa
success,-30.559482,22.937506,1578225600,Clear,clear-day,94.71,94.71,17.18,0.06,1005.2,18.37,24.98,286,0.01,12,10,272.2,South Africa
success,-30.559482,22.937506,1578243600,Partly Cloudy,partly-cloudy-day,88.59,88.59,13.53,0.06,1006.3,13.11,24.24,248,0.5,0,10,271.9,South Africa
success,-30.559482,22.937506,1578297600,Mostly Cloudy,partly-cloudy-day,80.17,80.17,39.55,0.23,1010.3,7.41,12.35,3,0.62,6,10,272.2,South Africa
success,-30.559482,22.937506,1578312000,Partly Cloudy,partly-cloudy-day,95.08,95.08,31.56,0.11,1006.6,18.85,29.46,286,0.33,10,10,272.9,South Africa
success,-30.559482,22.937506,1578330000,Partly Cloudy,partly-cloudy-day,89.5,89.5,23.74,0.09,1007,10.55,18.26,224,0.49,0,10,269.5,South Africa
success,-30.559482,22.937506,1578384000,Overcast,cloudy,80.5,80.5,54.13,0.4,1010.6,11.8,21.19,7,0.91,5,10,270.1,South Africa
success,-30.559482,22.937506,1578398400,Mostly Cloudy,partly-cloudy-day,78.88,78.88,57.11,0.47,1008.2,16.47,29.87,10,0.87,7,10,268.4,South Africa
success,-30.559482,22.937506,1578416400,Possible Light Rain,rain,71.1,71.31,61.78,0.72,1008.8,8.36,25.15,60,0.93,0,10,265.3,South Africa
success,-30.559482,22.937506,1578470400,Mostly Cloudy,partly-cloudy-day,73.97,74.48,64.66,0.73,1009.2,11.33,14.63,348,0.81,6,10,265.2,South Africa
success,-30.559482,22.937506,1578484800,Mostly Cloudy,partly-cloudy-day,82.41,83.35,62.36,0.51,1006.6,9.69,11.83,328,0.83,7,10,266.7,South Africa
success,-30.559482,22.937506,1578502800,Partly Cloudy,partly-cloudy-day,74.2,74.2,59.96,0.61,1007.5,7.06,13.11,27,0.47,0,10,261.8,South Africa
success,-30.559482,22.937506,1578556800,Clear,clear-day,74.81,74.81,57.2,0.54,1013.5,6.87,12.74,336,0.03,9,10,269.6,South Africa
