message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,35.907757,127.766922,1577865600,Clear,clear-day,28.73,24.49,18.78,0.66,1030.7,3.85,5.72,257,0.25,0,10,289.2,South Korea
success,35.907757,127.766922,1577880000,Partly Cloudy,partly-cloudy-night,23.19,23.19,16.49,0.75,1030.9,2.61,4.17,268,0.32,0,10,287.8,South Korea
success,35.907757,127.766922,1577898000,Clear,clear-night,21.3,21.3,14.11,0.73,1029.6,2.81,4.45,265,0.13,0,10,291.4,South Korea
success,35.907757,127.766922,1577952000,Clear,clear-day,32.68,28.26,24.78,0.72,1028.1,4.58,7.25,249,0.15,0,10,303.3,South Korea
success,35.907757,127.766922,1577966400,Partly Cloudy,partly-cloudy-night,28.23,24.13,21.43,0.75,1028.6,3.67,8.27,271,0.4,0,10,302.8,South Korea
success,35.907757,127.766922,1577984400,Mostly Cloudy,partly-cloudy-night,27.48,22.42,22.59,0.82,1027.1,4.38,9.52,286,0.82,0,10,301.4,South Korea
success,35.907757,127.766922,1578038400,Clear,clear-day,33.12,29.41,24.35,0.7,1025.3,3.97,6.15,257,0.03,0,10,315.4,South Korea
success,35.907757,127.766922,1578052800,Clear,clear-night,26.01,26.01,20.34,0.79,1026.1,2.47,3.73,267,0.01,0,10,323.6,South Korea
success,35.907757,127.766922,1578070800,Clear,clear-night,22.87,22.87,11,0.6,1025.4,2.81,3.79,264,0,0,10,334.2,South Korea
success,35.907757,127.766922,1578124800,Clear,clear-day,33.1,28.34,25.06,0.72,1024.8,5.03,8.81,300,0.08,0,10,356,South Korea
success,35.907757,127.766922,1578139200,Clear,clear-night,27.17,27.17,19.95,0.74,1027,2.68,3.42,311,0.02,0,10,349.7,South Korea
success,35.907757,127.766922,1578157200,Clear,clear-night,22.78,22.78,12.7,0.65,1029,2.3,3.2,274,0,0,10,343.9,South Korea
success,35.907757,127.766922,1578211200,Mostly Cloudy,partly-cloudy-day,35.46,35.46,16.02,0.45,1029.8,1.38,1.68,39,0.61,0,10,316.8,South Korea
success,35.907757,127.766922,1578225600,Overcast,cloudy,30.54,30.54,15.34,0.53,1030.9,2.65,3.84,135,0.89,0,10,316.2,South Korea
success,35.907757,127.766922,1578243600,Partly Cloudy,partly-cloudy-night,29.7,26.64,9.76,0.43,1029.8,3.05,4.22,142,0.53,0,10,314.9,South Korea
success,35.907757,127.766922,1578297600,Possible Light Rain,rain,39.76,36.25,35.77,0.85,1023.5,4.93,7.52,124,1,0,0.365,300.3,South Korea
success,35.907757,127.766922,1578312000,Rain,rain,39.82,36.59,37.21,0.9,1022.5,4.58,4.75,125,1,0,0.558,293.3,South Korea
success,35.907757,127.766922,1578330000,Rain,rain,40.39,36.54,37.88,0.91,1019.2,5.53,7.29,135,1,0,1.189,288.3,South Korea
success,35.907757,127.766922,1578384000,Rain,rain,51.51,51.51,47.55,0.86,1008.2,7.22,11.63,175,1,0,1.962,282.3,South Korea
success,35.907757,127.766922,1578398400,Heavy Rain,rain,52.13,52.13,48.41,0.87,1002.8,8.05,9.3,207,1,0,0.454,284.8,South Korea
success,35.907757,127.766922,1578416400,Possible Light Rain and Windy,rain,40.07,32.17,38.63,0.95,1003.7,14.18,44.38,271,1,0,9.377,310.8,South Korea
success,35.907757,127.766922,1578470400,Overcast,cloudy,32.96,27.54,30.3,0.9,1018.8,5.78,11.31,271,0.95,0,9.622,282.6,South Korea
success,35.907757,127.766922,1578484800,Mostly Cloudy,partly-cloudy-night,29.71,22.88,27.79,0.92,1022.1,6.8,12.72,282,0.77,0,3.332,275.5,South Korea
success,35.907757,127.766922,1578502800,Mostly Cloudy,partly-cloudy-night,26.54,18.88,23.42,0.88,1022.9,7.04,12.08,287,0.61,0,7.712,276.2,South Korea
success,35.907757,127.766922,1578556800,Overcast,cloudy,30.67,25.85,24.39,0.77,1023.4,4.65,6.61,297,0.95,0,10,281.6,South Korea
success,35.907757,127.766922,1578571200,Mostly Cloudy,partly-cloudy-night,26.62,22.39,19.54,0.74,1024.6,3.58,4.68,301,0.83,0,10,291.9,South Korea
success,35.907757,127.766922,1578589200,Mostly Cloudy,partly-cloudy-night,22.83,22.83,13.11,0.66,1024,1.87,3.11,293,0.73,0,10,293.4,South Korea
success,35.907757,127.766922,1578643200,Clear,clear-day,32.24,32.24,21.03,0.63,1022.2,2.54,3.7,298,0.21,0,10,317.1,South Korea
success,35.907757,127.766922,1578657600,Mostly Cloudy,partly-cloudy-night,24.62,24.62,15.62,0.68,1022.1,2.07,2.87,290,0.62,0,10,325.1,South Korea
success,35.907757,127.766922,1578675600,Overcast,cloudy,24.17,24.17,12.02,0.59,1021.2,2.67,3.96,275,1,0,10,320.2,South Korea
success,35.907757,127.766922,1578729600,Partly Cloudy,partly-cloudy-day,31.16,28.07,23.65,0.73,1017.7,3.22,4.49,306,0.44,0,10,302.8,South Korea
success,35.907757,127.766922,1578744000,Mostly Cloudy,partly-cloudy-night,27.54,23.22,22.53,0.81,1018.3,3.76,6.02,305,0.74,0,10,299.1,South Korea
success,35.907757,127.766922,1578762000,Overcast,cloudy,25.27,21.66,19.52,0.79,1016.4,3.03,4.94,251,1,0,10,290.4,South Korea
success,35.907757,127.766922,1578816000,Overcast,cloudy,28.56,21.58,21,0.73,1017,6.69,16.36,317,0.93,0,8.923,307.9,South Korea
success,35.907757,127.766922,1578830400,Overcast,cloudy,24.36,17.81,18.45,0.78,1019.3,5.29,15.75,270,0.94,0,5.536,314.5,South Korea
success,35.907757,127.766922,1578848400,Overcast,cloudy,24.08,16.91,19.45,0.82,1019.7,5.88,18.05,324,0.92,0,2.045,327.9,South Korea
success,35.907757,127.766922,1578902400,Partly Cloudy,partly-cloudy-day,26.16,18.32,15.83,0.65,1022.6,7.18,11.6,292,0.47,0,10,370.7,South Korea
success,35.907757,127.766922,1578916800,Mostly Cloudy,partly-cloudy-night,20.77,15.54,9.98,0.63,1024.5,3.68,4.2,293,0.87,0,10,355.4,South Korea
success,35.907757,127.766922,1578934800,Mostly Cloudy,partly-cloudy-night,20.77,20.77,5.74,0.52,1024.5,2.64,3.98,262,0.84,0,10,350.9,South Korea
success,35.907757,127.766922,1580544000,Mostly Cloudy,partly-cloudy-day,35.23,30.6,27.83,0.74,1023.6,5.31,13.38,248,0.73,0,10,312.4,South Korea
success,35.907757,127.766922,1580558400,Mostly Cloudy,partly-cloudy-night,28.86,25.17,24.21,0.83,1025.3,3.42,4.6,278,0.68,0,10,304.1,South Korea
success,35.907757,127.766922,1580576400,Mostly Cloudy,partly-cloudy-night,25.53,25.53,21.49,0.84,1025,2.63,3.77,260,0.61,0,10,288.3,South Korea
success,35.907757,127.766922,1580630400,Partly Cloudy,partly-cloudy-day,33.38,33.38,21.44,0.61,1023.8,2.57,3.53,271,0.53,0,10,280.9,South Korea
success,35.907757,127.766922,1580644800,Clear,clear-night,25.77,25.77,18.14,0.72,1024.9,2.84,4.33,252,0.22,0,10,280.7,South Korea
success,35.907757,127.766922,1580662800,Partly Cloudy,partly-cloudy-night,24.22,19.62,15.09,0.68,1023.8,3.6,6.59,261,0.38,0,10,283.7,South Korea
success,35.907757,127.766922,1580716800,Partly Cloudy,partly-cloudy-day,29.85,25.02,19.25,0.64,1026,4.53,7.3,293,0.35,0,10,296.1,South Korea
success,35.907757,127.766922,1580731200,Partly Cloudy,partly-cloudy-night,22.87,22.87,12.47,0.64,1027.7,2.26,2.83,236,0.32,0,10,304.5,South Korea
success,35.907757,127.766922,1580749200,Clear,clear-night,17.13,17.13,7.85,0.66,1028.2,2.36,3.44,254,0,0,10,304.6,South Korea
success,35.907757,127.766922,1580803200,Clear,clear-day,30.4,26.44,13.24,0.48,1024.1,3.82,6.45,239,0,0,10,324.1,South Korea
