message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,60.128161,18.643501,1577865600,Overcast,cloudy,38.21,30.06,24.49,0.57,1011.3,13.43,28.37,260,0.93,0,10,262.1,Sweden
success,60.128161,18.643501,1577880000,Overcast,cloudy,41.1,33.41,28.45,0.6,1010.6,14.44,26.33,269,0.99,0,10,264.1,Sweden
success,60.128161,18.643501,1577898000,Overcast,cloudy,40.42,33.12,28.39,0.62,1009.3,12.71,22.48,253,1,0,10,264.1,Sweden
success,60.128161,18.643501,1577952000,Mostly Cloudy,partly-cloudy-day,41.24,33.05,32.35,0.7,1005.5,16.29,35.9,245,0.79,0,10,258.4,Sweden
success,60.128161,18.643501,1577966400,Windy and Partly Cloudy,wind,45.08,37.15,34.54,0.66,1003.9,19.94,43.57,250,0.41,0,10,265.4,Sweden
success,60.128161,18.643501,1577984400,Windy,wind,43.32,34.56,34.73,0.72,1002.3,21.28,44.23,243,0.28,0,10,271.5,Sweden
success,60.128161,18.643501,1578038400,Windy and Overcast,wind,42.42,33.06,34.04,0.72,991.1,22.79,43.54,229,0.95,0,10,265,Sweden
success,60.128161,18.643501,1578052800,Overcast,cloudy,44.97,36.93,37.46,0.75,990.2,20.32,34.85,244,1,0,10,286.1,Sweden
success,60.128161,18.643501,1578070800,Partly Cloudy,partly-cloudy-night,37.79,28.74,11.3,0.33,994.2,15.84,30.68,225,0.47,0,10,301,Sweden
success,60.128161,18.643501,1578124800,Clear,clear-day,35.69,24.63,11.39,0.36,989.9,20.75,37.59,270,0.11,0,10,343.6,Sweden
success,60.128161,18.643501,1578139200,Clear,clear-day,37.48,27.63,20.57,0.5,994,18.28,37.02,296,0.12,0,10,340.8,Sweden
success,60.128161,18.643501,1578157200,Windy and Partly Cloudy,wind,35.61,23.49,15.28,0.43,1002.7,25.13,40.46,332,0.56,0,10,344.8,Sweden
success,60.128161,18.643501,1578211200,Partly Cloudy,partly-cloudy-day,30.21,23,16.22,0.56,1021.6,7.48,11.01,226,0.55,0,10,265.3,Sweden
success,60.128161,18.643501,1578225600,Mostly Cloudy,partly-cloudy-day,31.71,23.52,17.49,0.55,1020.6,9.72,17.13,215,0.85,0,10,260.8,Sweden
success,60.128161,18.643501,1578243600,Overcast,cloudy,32.82,22.01,23.52,0.68,1014.2,16.85,32.59,200,1,0,2.199,257.8,Sweden
success,60.128161,18.643501,1578297600,Partly Cloudy,partly-cloudy-day,34.03,27.21,31.48,0.9,1013.9,8.19,15.26,241,0.54,0,10,273.4,Sweden
success,60.128161,18.643501,1578312000,Overcast,cloudy,37.04,30.2,35.28,0.93,1013.6,9.52,19.79,227,0.88,0,10,291.7,Sweden
success,60.128161,18.643501,1578330000,Overcast,cloudy,39.54,32.9,37.07,0.91,1011.4,10.41,24.34,223,0.95,0,10,289.3,Sweden
success,60.128161,18.643501,1578384000,Overcast,cloudy,40.54,32.93,36.02,0.84,1009.9,13.7,27.48,221,0.99,0,10,320.6,Sweden
success,60.128161,18.643501,1578398400,Overcast,cloudy,40,32.35,36.07,0.86,1010.5,13.42,25.59,227,0.9,0,10,294.8,Sweden
success,60.128161,18.643501,1578416400,Mostly Cloudy,partly-cloudy-night,40.47,32.83,35.01,0.81,1010.1,13.76,29.97,219,0.84,0,10,258.1,Sweden
success,60.128161,18.643501,1578470400,Windy and Overcast,wind,44.77,36.28,39.68,0.82,994.3,22.27,43.22,222,0.99,0,10,281.2,Sweden
success,60.128161,18.643501,1578484800,Mostly Cloudy,partly-cloudy-day,46.71,39.34,40.85,0.8,994.1,19.73,38.15,238,0.74,0,10,307,Sweden
success,60.128161,18.643501,1578502800,Clear,clear-night,41.12,33.49,27.46,0.58,999.7,14.26,32.42,258,0.18,0,10,310,Sweden
success,60.128161,18.643501,1578556800,Clear,clear-day,37.33,28.85,25.65,0.62,1007,13.74,29.93,262,0.04,0,10,327.7,Sweden
