message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,55.378051,-3.435973,1577865600,Foggy,fog,36.51,30.66,32.56,0.85,1026,7.45,14.11,201,0.93,0,0.248,293,United Kingdom
success,55.378051,-3.435973,1577880000,Overcast,cloudy,40.09,33.08,34.47,0.8,1024.6,11.66,22.14,205,0.98,0,10,295.7,United Kingdom
success,55.378051,-3.435973,1577898000,Mostly Cloudy,partly-cloudy-night,40.21,32.9,33.33,0.76,1021.8,12.58,27.52,203,0.85,0,10,309.3,United Kingdom
success,55.378051,-3.435973,1577952000,Overcast,cloudy,43.17,33.99,37.73,0.81,1009.6,23.05,38.81,202,1,0,5.803,310.2,United Kingdom
success,55.378051,-3.435973,1577966400,Possible Light Rain and Windy,rain,43.4,34.01,39.32,0.85,1005.5,24.57,41.75,202,1,0,10,302.5,United Kingdom
success,55.378051,-3.435973,1577984400,Rain,rain,45.68,38.07,40.97,0.83,1001.5,19.33,37.11,211,1,0,8.208,309.4,United Kingdom
success,55.378051,-3.435973,1578038400,Mostly Cloudy,partly-cloudy-night,34.86,27.34,27.21,0.73,1016.1,9.86,25.38,290,0.82,0,10,311.9,United Kingdom
success,55.378051,-3.435973,1578052800,Mostly Cloudy,partly-cloudy-day,37.78,30.43,30.16,0.74,1019.5,11.05,22.06,274,0.68,0,10,298.6,United Kingdom
success,55.378051,-3.435973,1578070800,Mostly Cloudy,partly-cloudy-night,37.49,30.05,29.74,0.73,1022.4,11.11,27.52,209,0.8,0,10,293.1,United Kingdom
success,55.378051,-3.435973,1578124800,Overcast,cloudy,40.23,33.27,34.51,0.8,1026.1,11.66,27.35,265,0.99,0,10,276.3,United Kingdom
success,55.378051,-3.435973,1578139200,Possible Drizzle,rain,42.72,36.93,36.84,0.8,1027.9,10.21,24.01,257,1,0,10,271.3,United Kingdom
success,55.378051,-3.435973,1578157200,Overcast,cloudy,41.1,35.66,35.67,0.81,1028.6,8.55,20.17,237,0.99,0,10,262.7,United Kingdom
success,55.378051,-3.435973,1578211200,Overcast,cloudy,40.55,33.26,35.24,0.81,1023.9,12.79,27.42,223,1,0,10,285.6,United Kingdom
success,55.378051,-3.435973,1578225600,Overcast,cloudy,42.94,35.93,38.58,0.84,1023.1,13.87,27.36,223,1,0,10,286.3,United Kingdom
success,55.378051,-3.435973,1578243600,Overcast,cloudy,44.75,38.73,40.08,0.84,1021.5,12.27,28.12,211,1,0,3.516,277.3,United Kingdom
success,55.378051,-3.435973,1578297600,Windy and Overcast,wind,40.78,30.57,36.06,0.83,1008.5,24.25,39.96,192,0.99,0,10,310.4,United Kingdom
success,55.378051,-3.435973,1578312000,Rain and Windy,rain,43.74,34.48,38.63,0.82,1004.1,24.46,40.68,196,0.99,0,2.962,328.3,United Kingdom
success,55.378051,-3.435973,1578330000,Mostly Cloudy,partly-cloudy-night,41.71,34.41,35.93,0.8,1007.5,13.72,29.07,266,0.83,0,10,360.9,United Kingdom
success,55.378051,-3.435973,1578384000,Possible Light Rain and Windy,rain,42.43,32.95,37.22,0.82,1008.2,23.4,42.14,198,0.97,0,4.482,271.5,United Kingdom
success,55.378051,-3.435973,1578398400,Rain and Dangerously Windy,rain,46.3,38.13,43.22,0.89,1004.7,23.17,47.84,195,1,0,0.204,265.9,United Kingdom
success,55.378051,-3.435973,1578416400,Possible Light Rain and Dangerously Windy,rain,51.41,51.41,46.72,0.84,1000.1,24.08,51.32,211,1,0,7.316,273,United Kingdom
success,55.378051,-3.435973,1578470400,Overcast,cloudy,37.08,29.44,29.88,0.75,1014.4,11.34,26.98,247,0.99,0,10,293.3,United Kingdom
success,55.378051,-3.435973,1578484800,Overcast,cloudy,39.06,30.94,32.76,0.78,1016.5,14.02,25.42,245,0.97,0,10,303,United Kingdom
success,55.378051,-3.435973,1578502800,Partly Cloudy,partly-cloudy-night,34.97,27.8,27.53,0.74,1017.5,9.22,26.3,243,0.46,0,10,299.7,United Kingdom
success,55.378051,-3.435973,1578556800,Snow,snow,33.08,24.32,27.34,0.79,997.2,11.58,24.49,33,1,0,0.016,352.4,United Kingdom
success,55.378051,-3.435973,1578571200,Possible Light Snow,snow,34.21,25.39,29.77,0.84,999.7,12.42,15.53,10,0.98,0,4.829,359.5,United Kingdom
success,55.378051,-3.435973,1578589200,Overcast,cloudy,34.33,27.7,29.17,0.81,1007.6,7.97,9.75,353,0.95,0,8.491,361,United Kingdom
success,55.378051,-3.435973,1578643200,Partly Cloudy,partly-cloudy-night,29.01,29.01,23.08,0.78,1019.3,2.61,4.33,221,0.35,0,10,345,United Kingdom
success,55.378051,-3.435973,1578657600,Foggy,fog,34.4,29.04,30.37,0.85,1020.6,6.06,17.03,185,0.64,0,0.35,317.3,United Kingdom
success,55.378051,-3.435973,1578675600,Overcast,cloudy,36.55,26.57,29.82,0.76,1017.5,17.72,36.46,197,1,0,10,301.2,United Kingdom
success,55.378051,-3.435973,1578729600,Rain and Dangerously Windy,rain,45.91,37.12,41.25,0.84,1004.9,25.97,47.21,203,1,0,2.148,273.7,United Kingdom
success,55.378051,-3.435973,1578744000,Rain and Windy,rain,47.15,38.96,43.43,0.87,1003.8,24.96,46.67,210,1,0,5.678,270.3,United Kingdom
success,55.378051,-3.435973,1578762000,Light Rain,rain,42.79,35.96,38.27,0.84,1005.1,13.2,28.17,231,1,0,10,272,United Kingdom
success,55.378051,-3.435973,1578816000,Foggy,fog,35.27,29.89,30.35,0.82,1008.3,6.32,22.47,231,0.86,0,1.716,341.8,United Kingdom
success,55.378051,-3.435973,1578830400,Mostly Cloudy,partly-cloudy-day,38.25,31.03,33.72,0.84,1010.3,11,23.54,265,0.71,0,10,337.8,United Kingdom
success,55.378051,-3.435973,1578848400,Clear,clear-night,35.23,27.33,28.01,0.75,1012.3,10.88,27.07,237,0.05,0,10,349.7,United Kingdom
success,55.378051,-3.435973,1578902400,Possible Drizzle,rain,36.36,27.12,31.34,0.82,1001.5,15.13,30.72,175,0.75,0,10,379.8,United Kingdom
success,55.378051,-3.435973,1578916800,Possible Drizzle and Windy,rain,37.38,26.83,31.83,0.8,992.7,20.81,42.69,160,0.95,0,10,388.5,United Kingdom
success,55.378051,-3.435973,1578934800,Rain and Dangerously Windy,rain,40.56,29.78,33.37,0.75,979.4,26.82,49.85,188,1,0,9.097,406.2,United Kingdom
success,55.378051,-3.435973,1580544000,Light Rain and Windy,rain,39.81,29.58,34.22,0.8,986.5,22.82,39.03,227,1,0,10,338.3,United Kingdom
success,55.378051,-3.435973,1580558400,Light Rain,rain,42.04,33.51,37.07,0.82,989.4,18.49,36.13,252,1,1,10,346.2,United Kingdom
success,55.378051,-3.435973,1580576400,Overcast,cloudy,40.02,31.84,34.72,0.81,997.1,15.05,30.42,284,1,0,10,339.4,United Kingdom
success,55.378051,-3.435973,1580630400,Light Rain,rain,34.9,30.68,30.51,0.84,999.3,4.77,7.41,109,1,0,4.456,361.1,United Kingdom
success,55.378051,-3.435973,1580644800,Possible Light Rain,rain,38.15,32.3,34.4,0.86,998.4,8.05,23.05,172,1,0,0.738,377,United Kingdom
success,55.378051,-3.435973,1580662800,Possible Drizzle,rain,41.98,35.41,36.88,0.82,997.5,11.76,27.53,220,0.97,0,10,377.1,United Kingdom
success,55.378051,-3.435973,1580716800,Possible Drizzle,rain,36.32,25.81,28.87,0.74,1003.2,19.39,37.51,251,0.85,0,8.44,392.7,United Kingdom
success,55.378051,-3.435973,1580731200,Overcast,cloudy,37.62,27.38,29.73,0.73,1004.6,19.91,35.63,257,0.94,0,7.461,393.6,United Kingdom
success,55.378051,-3.435973,1580749200,Possible Light Snow,snow,34.57,24.46,28.46,0.78,1004.5,16.28,33.36,258,0.93,0,10,405.6,United Kingdom
success,55.378051,-3.435973,1580803200,Mostly Cloudy,partly-cloudy-night,38.45,28.75,32.2,0.78,1012.4,18.8,34.2,305,0.6,0,10,371.3,United Kingdom
success,55.378051,-3.435973,1580817600,Clear,clear-day,43.79,36.85,34.41,0.69,1021.5,14.43,25.91,332,0.26,1,10,348.8,United Kingdom
success,55.378051,-3.435973,1580835600,Partly Cloudy,partly-cloudy-night,38.09,33.05,32.12,0.79,1028.2,6.64,13.6,311,0.51,0,10,341.3,United Kingdom
success,55.378051,-3.435973,1580889600,Mostly Cloudy,partly-cloudy-night,32.68,29.59,27.78,0.82,1034.9,3.38,8.62,250,0.85,0,10,319.4,United Kingdom
success,55.378051,-3.435973,1580904000,Overcast,cloudy,39.97,35.09,32.84,0.75,1034.5,7.02,18.44,229,1,1,10,333.3,United Kingdom
success,55.378051,-3.435973,1580922000,Overcast,cloudy,37.93,32.18,30.68,0.75,1032.4,7.78,19.95,231,1,0,10,340.8,United Kingdom
success,55.378051,-3.435973,1580976000,Mostly Cloudy,partly-cloudy-night,34.3,30.76,29.63,0.83,1030,3.97,8.38,200,0.78,0,10,314.3,United Kingdom
success,55.378051,-3.435973,1580990400,Mostly Cloudy,partly-cloudy-day,41.18,36.74,34.32,0.76,1029.5,6.69,10.13,221,0.8,1,10,308.6,United Kingdom
success,55.378051,-3.435973,1581008400,Partly Cloudy,partly-cloudy-night,38.07,34.15,31.99,0.79,1027.8,5.07,6.03,196,0.51,0,10,308.8,United Kingdom
success,55.378051,-3.435973,1581062400,Clear,clear-night,30,23.96,22.5,0.73,1017.5,5.87,5.87,130,0,0,10,304.6,United Kingdom
success,55.378051,-3.435973,1581076800,Clear,clear-day,41.3,35.8,24.17,0.5,1012.7,8.76,24.77,146,0.11,1,10,299.4,United Kingdom
success,55.378051,-3.435973,1581094800,Overcast,cloudy,37.86,31.28,24.53,0.58,1006.8,9.38,16.78,145,0.88,0,10,297.4,United Kingdom
success,55.378051,-3.435973,1581148800,Partly Cloudy,partly-cloudy-night,35.41,25.75,28.54,0.76,1004.6,15.62,29.65,214,0.42,0,10,376.9,United Kingdom
success,55.378051,-3.435973,1581163200,Possible Drizzle,rain,38.35,28.35,31.9,0.77,1004.3,19.85,36.66,203,0.28,1,10,373.4,United Kingdom
success,55.378051,-3.435973,1581181200,Rain and Dangerously Windy,rain,39.51,27.75,34.77,0.83,996.3,30.27,52.31,191,0.82,0,4.674,355.1,United Kingdom
success,55.378051,-3.435973,1581235200,Rain and Dangerously Windy,rain,46.68,37.67,41.93,0.83,968.2,29.08,48.26,207,1,0,5.825,291.4,United Kingdom
success,55.378051,-3.435973,1581249600,Possible Light Rain and Dangerously Windy,rain,42.87,32.73,36.84,0.79,965.6,27.7,50.79,240,1,1,8.732,335.6,United Kingdom
success,55.378051,-3.435973,1581267600,Possible Light Rain and Windy,rain,39.02,28.92,33.51,0.8,968.1,21.09,44.14,260,0.78,0,9.316,350.9,United Kingdom
success,55.378051,-3.435973,1581321600,Snow and Windy,snow,32.99,21.06,25.92,0.75,983.1,20.79,43.35,247,0.97,0,7.656,364.6,United Kingdom
success,55.378051,-3.435973,1581336000,Possible Light Snow and Windy,snow,33.57,21.72,27.13,0.77,983,21.21,40.57,247,0.96,1,5.213,372.5,United Kingdom
success,55.378051,-3.435973,1581354000,Possible Light Snow and Windy,snow,33.86,22.32,25.45,0.71,982.1,20.38,40.59,245,0.92,0,10,384.6,United Kingdom
success,55.378051,-3.435973,1581408000,Snow and Windy,snow,32.07,19.91,24.52,0.73,990.5,20.58,40.77,259,0.98,0,2.504,411.3,United Kingdom
success,55.378051,-3.435973,1581422400,Snow and Windy,snow,32.21,19.6,25.93,0.77,992.3,22.43,42.15,259,0.99,1,10,403.6,United Kingdom
success,55.378051,-3.435973,1581440400,Snow and Windy,snow,32.7,19.92,25.14,0.73,994.6,23.77,46.71,265,0.94,0,10,414.1,United Kingdom
success,55.378051,-3.435973,1581494400,Clear,clear-day,30.99,20,23.02,0.72,1003.1,15.79,34.69,263,0.23,0,10,401.4,United Kingdom
success,55.378051,-3.435973,1581508800,Partly Cloudy,partly-cloudy-day,34.52,24.52,26.79,0.73,1005.6,15.88,31.69,261,0.42,1,10,388,United Kingdom
success,55.378051,-3.435973,1581526800,Mostly Cloudy,partly-cloudy-day,30.86,22.76,24.43,0.77,1006.7,9.17,21.04,245,0.67,0,10,374.7,United Kingdom
success,55.378051,-3.435973,1581580800,Snow,snow,32.48,22.73,27.64,0.82,988.3,13.59,27.85,84,1,0,0,386.6,United Kingdom
success,55.378051,-3.435973,1581595200,Possible Light Snow,snow,34.96,27.47,30.38,0.83,992.3,9.86,21.43,42,1,1,0.064,392.9,United Kingdom
success,55.378051,-3.435973,1581613200,Overcast,cloudy,34.56,27.63,29.68,0.82,1001.4,8.59,22.44,19,0.97,0,10,352,United Kingdom
success,55.378051,-3.435973,1583049600,Snow and Windy,snow,34.1,21.38,28.64,0.8,970.2,25.52,43.64,232,1,0,0.406,465.6,United Kingdom
success,55.378051,-3.435973,1583064000,Possible Light Snow and Windy,snow,35.87,24.25,29.92,0.79,974.8,23.27,39.15,238,1,1,1.731,454,United Kingdom
success,55.378051,-3.435973,1583082000,Possible Light Snow,snow,35.16,25.51,28.43,0.76,977.1,15.39,30.27,241,0.97,0,10,458.4,United Kingdom
success,55.378051,-3.435973,1583136000,Partly Cloudy,partly-cloudy-day,31.49,24.19,25.34,0.78,982.7,8.05,20.2,223,0.45,0,10,421,United Kingdom
success,55.378051,-3.435973,1583150400,Possible Flurries,snow,35.55,27.72,29.59,0.79,984.3,10.88,19.78,233,0.57,1,5.203,435.2,United Kingdom
success,55.378051,-3.435973,1583168400,Mostly Cloudy,partly-cloudy-day,34.55,26.94,28.16,0.77,986.1,9.88,22.31,228,0.78,0,10,442.1,United Kingdom
success,55.378051,-3.435973,1583222400,Foggy,fog,34.76,30.28,30.06,0.83,991.5,5.04,11.22,349,0.91,0,1.341,503.7,United Kingdom
success,55.378051,-3.435973,1583236800,Overcast,cloudy,40.95,33.65,32.8,0.73,996.2,13.13,18.54,302,0.94,1,10,507.2,United Kingdom
success,55.378051,-3.435973,1583254800,Mostly Cloudy,partly-cloudy-day,36.94,28.79,31.32,0.8,1001.1,12.54,26.87,289,0.61,0,10,427.7,United Kingdom
success,55.378051,-3.435973,1583308800,Overcast,cloudy,30.69,30.69,24.74,0.78,1006.5,2.5,3.21,163,0.99,0,10,387,United Kingdom
success,55.378051,-3.435973,1583323200,Overcast,cloudy,38.27,34.43,30.76,0.74,1006.4,5.01,8.61,192,1,1,10,382.1,United Kingdom
success,55.378051,-3.435973,1583341200,Mostly Cloudy,partly-cloudy-day,36.12,32.51,29.75,0.77,1004.8,4.34,4.97,219,0.85,0,10,379.5,United Kingdom
success,55.378051,-3.435973,1583395200,Clear,clear-day,30.26,30.26,23.43,0.75,1001,1.95,1.95,52,0,0,10,395,United Kingdom
success,55.378051,-3.435973,1583409600,Clear,clear-day,40.3,40.3,29.93,0.66,999.6,2.82,3.04,208,0,1,10,413.1,United Kingdom
