message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,37.09024,-95.712891,1577865600,Clear,clear-night,31.48,24.67,12.32,0.45,1014.8,7.3,13.57,205,0,0,10,348.6,United States
success,37.09024,-95.712891,1577880000,Clear,clear-night,31.05,23.3,15.17,0.51,1012,8.64,16.42,186,0,0,10,353.3,United States
success,37.09024,-95.712891,1577898000,Clear,clear-day,47.38,40.62,25.03,0.41,1008.2,17.83,34.35,190,0,2,10,354.7,United States
success,37.09024,-95.712891,1577952000,Clear,clear-night,41.04,34.08,32.52,0.71,1001.1,12.21,22.98,178,0.06,0,10,311,United States
success,37.09024,-95.712891,1577966400,Clear,clear-night,40.74,36,35.81,0.82,1001,7.05,14.49,171,0.2,0,10,303.2,United States
success,37.09024,-95.712891,1577984400,Mostly Cloudy,partly-cloudy-day,49.37,46.28,43.28,0.79,1002.9,7.33,12.83,203,0.77,2,10,297.8,United States
success,37.09024,-95.712891,1578038400,Mostly Cloudy,partly-cloudy-night,41.27,34.5,32.74,0.71,1008.7,11.85,24.33,355,0.73,0,10,297.3,United States
success,37.09024,-95.712891,1578052800,Overcast,cloudy,37.67,30.91,32.12,0.8,1011.5,9.67,18.64,347,0.92,0,10,308,United States
success,37.09024,-95.712891,1578070800,Mostly Cloudy,partly-cloudy-day,42.55,36.65,33.45,0.7,1014.5,10.39,14.77,334,0.69,2,10,317.1,United States
success,37.09024,-95.712891,1578124800,Partly Cloudy,partly-cloudy-night,35.66,28,9.18,0.33,1022.4,10.55,24.79,326,0.42,0,10,347.3,United States
success,37.09024,-95.712891,1578139200,Clear,clear-night,28.25,20.54,6.91,0.4,1024.5,7.63,15.74,324,0.11,0,10,336.7,United States
success,37.09024,-95.712891,1578157200,Clear,clear-day,38.35,33.98,12.18,0.34,1027.3,5.73,10.14,290,0,2,10,326.7,United States
success,37.09024,-95.712891,1578211200,Clear,clear-night,35.46,27.59,12.25,0.38,1020.3,10.91,23.53,184,0,0,10,293.5,United States
success,37.09024,-95.712891,1578225600,Clear,clear-night,32.51,26.58,19.02,0.57,1020.3,6.33,12.88,217,0,0,10,289.8,United States
success,37.09024,-95.712891,1578243600,Clear,clear-day,49.05,43.53,29.35,0.46,1024.7,14.58,30.68,0,0,2,10,295.6,United States
success,37.09024,-95.712891,1578297600,Clear,clear-night,30.31,24.89,16.65,0.56,1024.4,5.22,7.53,15,0.15,0,10,296.9,United States
success,37.09024,-95.712891,1578312000,Clear,clear-night,26.78,21.99,16.34,0.64,1023,4.05,6.23,33,0.1,0,10,294.2,United States
success,37.09024,-95.712891,1578330000,Clear,clear-day,42.33,40.25,24.55,0.49,1022.8,3.73,7.17,70,0.17,2,10,292.8,United States
success,37.09024,-95.712891,1578384000,Clear,clear-night,33.57,26.67,14.78,0.46,1024.1,8.14,15.26,291,0,0,10,344,United States
success,37.09024,-95.712891,1578398400,Clear,clear-night,29.7,23.94,14.59,0.53,1025.5,5.46,9.22,264,0,0,10,345,United States
success,37.09024,-95.712891,1578416400,Clear,clear-day,43.85,40.47,21.05,0.4,1026.2,5.79,9.35,194,0,2,10,343.7,United States
success,37.09024,-95.712891,1578470400,Clear,clear-night,33.77,29,14.13,0.44,1023.6,5.18,8.85,171,0,0,10,293.4,United States
success,37.09024,-95.712891,1578484800,Clear,clear-night,33.33,28.17,14.92,0.46,1022.2,5.55,10.68,169,0,0,10,291,United States
success,37.09024,-95.712891,1578502800,Clear,clear-day,49.05,43.92,21.62,0.34,1021.5,13.1,21.75,182,0.03,2,10,298.5,United States
success,37.09024,-95.712891,1578556800,Dangerously Windy and Mostly Cloudy,wind,51.24,51.24,27.49,0.4,1011.1,23.02,47.68,178,0.64,0,10,301.1,United States
success,37.09024,-95.712891,1578571200,Windy and Overcast,wind,54.17,54.17,44.32,0.69,1010.1,23.03,44.66,186,0.99,0,10,304.6,United States
