message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,10.82302,106.62965,1577865600,Partly Cloudy,partly-cloudy-day,93.56,94.31,62.02,0.35,1012.2,5.94,8.75,48,0.52,3,10,246.5,VietNam
success,10.82302,106.62965,1577880000,Mostly Cloudy,partly-cloudy-night,82.61,85.67,68.1,0.62,1013.7,5.88,17.01,184,0.71,0,10,247.9,VietNam
success,10.82302,106.62965,1577898000,Clear,clear-night,78.45,79.52,69.91,0.75,1015.7,3.66,7.92,18,0.19,0,10,245.9,VietNam
success,10.82302,106.62965,1577952000,Mostly Cloudy,partly-cloudy-day,92.92,96.98,67.51,0.44,1012.1,6.17,10.32,82,0.81,3,10,241.4,VietNam
success,10.82302,106.62965,1577966400,Mostly Cloudy,partly-cloudy-night,82.91,87.28,70.57,0.66,1013.4,4.73,10.96,228,0.77,0,10,240.3,VietNam
success,10.82302,106.62965,1577984400,Humid and Overcast,cloudy,79.09,82.31,72.16,0.79,1015,5.01,7.63,87,0.89,0,10,242.8,VietNam
success,10.82302,106.62965,1578038400,Overcast,cloudy,92.26,94.18,64.45,0.4,1011.9,5.17,8.13,351,0.89,3,10,239.7,VietNam
success,10.82302,106.62965,1578052800,Mostly Cloudy,partly-cloudy-night,81.99,85.6,69.56,0.66,1013.5,6.28,8.01,200,0.84,0,10,240.5,VietNam
success,10.82302,106.62965,1578070800,Humid and Mostly Cloudy,partly-cloudy-night,76.53,78.07,73.08,0.89,1013.3,3.37,3.8,182,0.83,0,10,240.1,VietNam
success,10.82302,106.62965,1578124800,Mostly Cloudy,partly-cloudy-day,91.4,94.45,66.43,0.44,1009.2,3.68,3.98,87,0.84,3,10,242,VietNam
success,10.82302,106.62965,1578139200,Mostly Cloudy,partly-cloudy-night,80.18,83.02,68.76,0.68,1010.7,6.23,13.36,170,0.84,0,10,240.7,VietNam
success,10.82302,106.62965,1578157200,Partly Cloudy,partly-cloudy-night,76.53,77.9,71.85,0.85,1011.7,3.15,4.65,223,0.58,0,10,242.8,VietNam
