message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,41.2924,174.7787,1601611200,Possible Light Rain,rain,66.87,67.42,63.37,0.89,1007.4,16.9,25.39,199,1.0,1,10.0,261.6,Wellington
success,41.2924,174.7787,1601614800,Rain,rain,67.01,67.56,63.4,0.88,1007.0,18.3,27.44,198,1.0,0,10.0,260.5,Wellington
success,41.2924,174.7787,1601618400,Possible Light Rain,rain,67.26,67.82,63.61,0.88,1006.5,19.16,28.65,201,1.0,0,8.494,260.8,Wellington
success,41.2924,174.7787,1601622000,Possible Light Rain,rain,67.43,68.04,63.98,0.89,1006.5,19.57,30.05,211,1.0,0,8.113999999999999,260.2,Wellington
success,41.2924,174.7787,1601625600,Possible Light Rain,rain,67.9,68.55,64.39,0.89,1005.9,19.7,31.32,224,1.0,0,8.421,259.6,Wellington
success,41.2924,174.7787,1601636400,Windy and Overcast,wind,66.92,67.39,62.8,0.87,1004.1,23.75,39.36,243,1.0,0,3.21,260.5,Wellington
success,41.2924,174.7787,1601643600,Windy and Overcast,wind,67.01,67.45,62.7,0.86,1001.8,27.09,46.71,237,1.0,0,2.342,257.9,Wellington
success,41.2924,174.7787,1601647200,Dangerously Windy and Overcast,wind,66.99,67.45,62.76,0.86,1000.9,29.72,50.75,239,1.0,0,5.747000000000001,257.8,Wellington
success,41.2924,174.7787,1601650800,Dangerously Windy and Overcast,wind,67.14,67.62,62.97,0.86,999.7,31.07,53.81,243,1.0,0,10.0,257.7,Wellington
success,41.2924,174.7787,1601654400,Dangerously Windy and Overcast,wind,67.35,67.88,63.44,0.87,999.1,31.52,55.24,242,1.0,0,10.0,257.7,Wellington
success,41.2924,174.7787,1601658000,Dangerously Windy and Overcast,wind,67.63,68.25,64.1,0.88,998.7,31.35,55.63,240,1.0,0,9.939,257.8,Wellington
success,41.2924,174.7787,1601661600,Dangerously Windy and Overcast,wind,67.77,68.45,64.58,0.9,998.4,30.95,54.41,237,1.0,0,6.999,258.6,Wellington
success,41.2924,174.7787,1601665200,Possible Light Rain and Dangerously Windy,rain,67.89,68.63,65.0,0.9,997.9,31.54,54.69,242,1.0,0,7.107,259.5,Wellington
success,41.2924,174.7787,1601668800,Rain and Dangerously Windy,rain,67.89,68.64,65.08,0.91,997.4,32.38,54.89,249,1.0,1,7.3679999999999986,260.6,Wellington
success,41.2924,174.7787,1601672400,Rain and Dangerously Windy,rain,67.55,68.27,64.77,0.91,996.9,32.12,53.64,253,1.0,2,10.0,262.1,Wellington
success,41.2924,174.7787,1601676000,Rain and Dangerously Windy,rain,67.05,67.66,63.87,0.9,997.0,31.31,49.57,241,0.91,3,10.0,264.2,Wellington
success,41.2924,174.7787,1601679600,Windy and Mostly Cloudy,wind,66.41,66.86,62.58,0.87,997.5,29.84,44.13,287,0.79,4,10.0,266.6,Wellington
success,41.2924,174.7787,1601683200,Windy and Mostly Cloudy,wind,66.0,66.3,61.38,0.85,997.9,27.5,38.4,270,0.72,4,10.0,268.6,Wellington
success,41.2924,174.7787,1601690400,Windy and Mostly Cloudy,wind,65.99,66.29,61.38,0.85,997.6,26.02,36.54,304,0.72,3,10.0,269.0,Wellington
success,41.2924,174.7787,1601694000,Windy and Mostly Cloudy,wind,65.64,65.91,61.1,0.85,997.6,25.93,41.21,276,0.76,2,10.0,270.1,Wellington
