message,lat,lng,time,summary,icon,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,Country
success,55.755825,37.617298,1604840400,Possible Light Rain,rain,48.26,42.91,41.14,0.76,1010.8,13.11,24.96,308,1.0,0,10.0,264.1,Moscow
success,55.755825,37.617298,1605445200,Foggy,fog,33.35,26.51,26.4,0.75,1030.6,7.95,16.03,109,0.95,0,1.409,292.8,Moscow
success,55.755825,37.617298,1605877200,Snow,snow,31.28,21.4,26.75,0.83,1018.1,13.1,26.0,209,1.0,0,0.027,249.4,Moscow
success,55.755825,37.617298,1606827600,Foggy,fog,29.48,22.41,24.23,0.81,1032.2,7.06,13.71,159,1.0,0,1.443,295.6,Moscow
success,55.755825,37.617298,1607864400,Foggy,fog,21.17,10.35,13.9,0.73,1028.0,9.92,19.91,142,0.99,0,0.211,284.7,Moscow
success,55.755825,37.617298,1608382800,Foggy,fog,25.85,17.12,19.95,0.78,1027.0,8.34,18.43,141,0.93,0,1.461,272.7,Moscow
success,42.804705,140.687493,1577883600,Foggy,fog,19.66,10.53,6.02,0.55,1014.1,7.11,19.53,275,1.0,0,0.108,383.4,Niseko
success,42.804705,140.687493,1577970000,Foggy,fog,25.2,18.53,11.67,0.56,1015.3,5.57,17.06,224,1.0,0,1.408,412.5,Niseko
success,42.804705,140.687493,1578056400,Foggy,fog,19.87,10.09,5.95,0.54,1012.2,7.98,21.56,303,1.0,0,0.096,426.7,Niseko
success,42.804705,140.687493,1579179600,Foggy,fog,22.25,17.27,11.15,0.62,1018.2,3.67,8.24,246,0.73,0,0.421,413.3,Niseko
success,42.804705,140.687493,1579266000,Foggy,fog,20.07,20.07,7.49,0.58,1020.5,1.14,1.88,302,0.89,0,0.466,375.6,Niseko
success,42.804705,140.687493,1579525200,Foggy,fog,25.14,20.25,14.22,0.63,1011.1,3.93,9.14,302,0.81,0,1.156,381.2,Niseko
success,46.879967,-121.726906,1604494800,Snow,snow,41.14,34.92,41.14,1.0,1015.0,10.34,24.29,234,0.9,0,2.813,257.9,Rainier
success,46.879967,-121.726906,1604581200,Snow,snow,34.59,24.77,33.84,0.97,1018.9,15.42,32.21,266,0.94,0,6.942,249.5,Rainier
success,46.879967,-121.726906,1604667600,Snow,snow,29.65,23.1,27.04,0.9,1008.7,6.43,12.78,70,1.0,0,1.445,336.2,Rainier
success,46.879967,-121.726906,1605013200,Snow,snow,22.11,11.28,21.4,0.97,1016.8,10.31,25.36,285,0.85,0,1.641,316.1,Rainier
success,46.879967,-121.726906,1605272400,Heavy Snow,snow,25.38,14.38,24.15,0.95,992.8,12.16,28.51,196,0.98,0,1.57,316.3,Rainier
success,46.879967,-121.726906,1605358800,Snow,snow,21.71,10.28,19.74,0.92,1017.1,11.17,30.0,269,0.91,0,0.808,317.2,Rainier
success,46.879967,-121.726906,1605445200,Snow,snow,26.56,16.75,26.56,1.0,1011.5,10.42,27.86,247,0.93,0,0.26,284.0,Rainier
